"Post ID",Survey,"Post Status","Created (UTC)","Updated (UTC)","Post Date (UTC)","Contact ID",Contact,"Data Source ID",Source,"Unstructured Description",Título,Descripción,"Ubicación aproximada.lat","Ubicación aproximada.lon","Categorías relacionadas","Forma de contacto con el centro"
62,"Servicio público disponible",published,"2020-03-20 13:24:07","2020-03-20 14:18:09","2020-03-20 13:20:35",,,,,,"Conexión de voluntariado para el cuidado de pequeños","Poner en contacto a voluntariado con familias que tengan la necesidad de encontrar a personas que puedan cuidar de sus hijos/as tras los cierres de los colegios en Zaragoza
https://actua.frenalacurva.net/t/asociacion-aldeha-conexion-de-voluntariado-para-cuidado-de-peques-zaragoza/100",41.652134,-0.880943,,info@aldeha.es
69,"Servicio público disponible",published,"2020-03-20 13:40:44","2020-03-20 14:31:24","2020-03-20 13:34:51",,,,,,"Servicio de Voluntariado en Huesca","Fundación Cruz Blanca busca #voluntariado contra el #Coronavirus. Mediante atención telefónica en el #CentrodeEscucha Realizando servicio a domicilio Apoyando a personas #sinhogar https://actua.frenalacurva.net/t/voluntariado-en-huesca-con-fundacion-cruz-blanca/1875",41.522708,0.347121,Atención/Cuidados,voluntariado-aragon@cruzblanca.org
71,"Servicio público disponible",published,"2020-03-20 13:46:39","2020-03-20 17:06:51","2020-03-20 13:46:39",,,,,,"Teléfono amigo (961111822)","El Ayuntamiento de Torrent habilita un servicio en línea para atender a aquellas personas que viven solas y tengan la necesidad de conversar",39.43675,-0.465857,,
72,"Servicio público disponible",published,"2020-03-20 13:50:26","2020-03-20 14:19:39","2020-03-20 13:47:13",,,,,,"Red Comunitaria para atención alimentaria","Red comunitaria e interbarrial para intervenir en toda esta problemática, dando un paso en la garantía de los derechos laborales y de la seguridad alimentaria de todas nuestras vecinas, en condiciones de salud.
https://actua.frenalacurva.net/t/3-rede-comunitaria-para-a-atencion-alimentaria-a-coruna/2068",43.371209,-8.395877,Alimentación,diegomestizo@gmail.com
73,"Servicio público disponible",published,"2020-03-20 13:57:35","2020-03-20 14:20:08","2020-03-20 13:55:11",,,,,,Ajude(M)ollerussa,"El Ayuntamiento de Mollerussa ha activado un servicio para asistir a las personas vulnerables, ya sean personas mayores o colectivos de riesgo, afectadas por las medidas adoptadas por la Generalitat con el objetivo de prevenir la expansión del coronavirus. La voluntad es coordinar la ayuda que este colectivo pueda necesitar y hacer las derivaciones a los servicios adecuados, siempre aplicando los protocolos vigentes para evitar riesgos de contagio. Por ello, se pone a disposición de las personas que lo necesiten un teléfono directo, el 676 289 571.",41.629741,0.894121,"Atención/Cuidados,Salud",ajuntament@mollerussa.cat
74,"Servicio público disponible",published,"2020-03-20 14:02:35","2020-03-20 14:32:52","2020-03-20 09:26:12",,,,,,"Proyecto Facilitamos ( recursos educativos) Departamento de Educación de  Aragón","El Departamento de Educación del Gobierno de Aragón dispone de este espacio virtual http://facilitamos.catedu.es donde la comunidad educativa puede localizar, clasificar , compartir recursos educativos. Está dividido por niveles y materias según el currículo aragonés.",41.623655,-0.849209,Otros,correoeduca.aragon.es/
75,"Servicio público disponible",published,"2020-03-20 14:08:27","2020-03-20 14:17:38","2020-03-20 14:03:30",,,,,,"¿Y ahora qué hago en casa? Plan Integral Barrio Oliver","Generar una serie de actividades y consejos para las personas en tiempo de coronavirus
https://actua.frenalacurva.net/t/y-que-hago-en-casa-iniciativas-de-ocio-del-barrio-oliver-zaragoza/1946",41.652134,-0.880943,Otros,noticias@barriooliver.com
76,"Servicio público disponible",published,"2020-03-20 14:10:27","2020-03-20 14:50:20","2020-03-20 14:07:04",,,,,,"Comarca Cinco Villas, Servicio de Apoyo a las personas mayores y otros colectivos vulnerables","Servicio especial para el apoyo emocional y psicosocial de las personas que viven solas durante la crisis del coronavirus, con la ayuda de voluntarios se está haciendo posible la llegada de alimentos, sobre todo frescos y básicos, a hogares de personas mayores

Para acceder a estos servicios o solventar cualquier duda se puede llamar a enviar un email a las siguientes direcciones:. 

Servicio Social de la Comarca de las Cinco Villas. Teléfono fijo y móvil: 976 677 559 y 649 763 002; email: accionsocial@comarcacincovillas.es 

Zona Sos del Rey Católico: 948 888 331 y 695 220 286; mjmalon@comarcacincovillas.es",42.496783,-1.215534,Atención/Cuidados,"948 888 331 y 695 220 286; mjmalon@comarcacincovillas.es"
77,"Servicio público disponible",published,"2020-03-20 14:14:24","2020-03-20 14:17:19","2020-03-20 14:11:16",,,,,,"Comarca Cinco Villas, Servicio de Apoyo a las personas mayores y otros colectivos vulnerables","Servicio especial para el apoyo emocional y psicosocial de las personas que viven solas durante la crisis del coronavirus, con la ayuda de voluntarios se está haciendo posible la llegada de alimentos, sobre todo frescos y básicos, a hogares de personas mayores

Para acceder a estos servicios o solventar cualquier duda se puede llamar a enviar un email a las siguientes direcciones:. 

Servicio Social de la Comarca de las Cinco Villas. Teléfono fijo y móvil: 976 677 559 y 649 763 002; email: accionsocial@comarcacincovillas.es 

Zona Sádaba: 976675037; ssbsadaba@comarcacincovillas.es",42.282199,-1.271431,Atención/Cuidados,"976675037; ssbsadaba@comarcacincovillas.es"
78,"Servicio público disponible",published,"2020-03-20 14:17:25","2020-03-20 14:31:19","2020-03-20 14:14:59",,,,,,"Comarca Cinco Villas, Servicio de Apoyo a las personas mayores y otros colectivos vulnerables","Servicio especial para el apoyo emocional y psicosocial de las personas que viven solas durante la crisis del coronavirus, con la ayuda de voluntarios se está haciendo posible la llegada de alimentos, sobre todo frescos y básicos, a hogares de personas mayores

Para acceder a estos servicios o solventar cualquier duda se puede llamar a enviar un email a las siguientes direcciones:. 

Servicio Social de la Comarca de las Cinco Villas. Teléfono fijo y móvil: 976 677 559 y 649 763 002; email: accionsocial@comarcacincovillas.es 

Zona Luna: 976 689 479; ssbluna@comarcacincovillas.es",42.166743,-0.930748,Atención/Cuidados,"976 689 479; ssbluna@comarcacincovillas.es"
79,"Servicio público disponible",published,"2020-03-20 14:18:36","2020-03-20 17:05:32","2020-03-20 14:13:23",,,,,,"Te ayudamos a cuidarte 647761999","El Ayuntamiento de Silla pone a disposición de gente mayor y dependientes un servicio de compra de alimentos y/o medicamentos y te los lleva a casa",39.363205,-0.411262,"Alimentación,Salud",647761999
82,"Servicio público disponible",published,"2020-03-20 14:26:20","2020-03-20 14:36:03","2020-03-20 14:15:47",,,,,,"""Mejores prácticas para gestionar equipos de personas ante el Coronavirus""","""Mejores prácticas para gestionar equipos de personas ante el Coronavirus""
https://ecosh.org/",40.459587,-3.682637,Otros,mashumano@ideas4us
83,"Servicio público disponible",published,"2020-03-20 14:30:19","2020-03-20 14:33:58","2020-03-20 14:27:59",,,,,,"Centro Mujer 24 horas - Generalitat Valenciana","Recibirás una atención directa gratuita en el ámbito social, psicológico y jurídico, por parte de profesionales, durante las 24 horas del día los 365 días del año.ç
- Acogida y escucha puntual y permanente.
- Información sobre tus derechos y sobre los recursos existentes para afrontar tu situación.",39.469901,-0.375951,"Atención/Cuidados,Acogida,Ayuda Psicológica",900580888
84,"Servicio público disponible",published,"2020-03-20 14:32:47","2020-03-21 05:02:04","2020-03-20 14:29:46",,,,,,"Recomendaciones a los sectores de Hostelería frente al Covid-19",https://www.heinekenespana.es/recomendaciones-para-los-negocios-de-hosteleria/,40.524832,-3.771563,Otros,pilar.hermida@heineken.es
86,"Servicio público disponible",published,"2020-03-20 14:39:40","2020-03-21 05:01:59","2020-03-20 14:36:57",,,,,,"Servicio Telefónico para combatir la soledad de las personas mayores",https://www.alares.es/campana-gratuita-cuidado-mayores-coronavirus/#.XnTU6IhKjIV,40.524832,-3.771563,Atención/Cuidados,info@alares.es
87,"Servicio público disponible",published,"2020-03-20 14:40:45","2020-03-20 16:21:03","2020-03-20 14:39:51",,,,,,"Servicio Telefónico para combatir la soledad de las personas mayores",https://www.alares.es/campana-gratuita-cuidado-mayores-coronavirus/#.XnTVwohKjIW,41.382894,2.177432,Atención/Cuidados,info@alares.es
88,"Servicio público disponible",published,"2020-03-20 14:48:20","2020-03-20 15:51:56","2020-03-20 14:43:37",,,,,,"Servicio para llevar alimentos a las familias más necesitadas","Square Ventures lleva alimentos a las familias más necesitadas
https://squareventures.es/una-iniciativa-de-square-ventures-lleva-alimentos-a-las-familias-mas-afectadas-por-el-coronavirus/",40.416705,-3.703582,Atención/Cuidados,hola@squareventures.es
89,"Servicio público disponible",published,"2020-03-20 14:49:58","2020-03-20 14:50:06","2020-03-20 14:48:43",,,,,,"Comarca Cinco Villas, Servicio de Apoyo a las personas mayores y otros colectivos vulnerables","Servicio especial para el apoyo emocional y psicosocial de las personas que viven solas durante la crisis del coronavirus, con la ayuda de voluntarios se está haciendo posible la llegada de alimentos, sobre todo frescos y básicos, a hogares de personas mayores

Para acceder a estos servicios o solventar cualquier duda se puede llamar a enviar un email a las siguientes direcciones:. 

Servicio Social de la Comarca de las Cinco Villas. Teléfono fijo y móvil: 976 677 559 y 649 763 002; email: accionsocial@comarcacincovillas.es 

Zona Tauste: 976 859 144; ssbtauste@comarcacincovillas.es",41.920319,-1.254725,Atención/Cuidados,"976 859 144; ssbtauste@comarcacincovillas.es"
90,"Servicio público disponible",published,"2020-03-20 14:51:49","2020-03-20 14:51:56","2020-03-20 14:50:27",,,,,,"Comarca Cinco Villas, Servicio de Apoyo a las personas mayores y otros colectivos vulnerables","Servicio especial para el apoyo emocional y psicosocial de las personas que viven solas durante la crisis del coronavirus, con la ayuda de voluntarios se está haciendo posible la llegada de alimentos, sobre todo frescos y básicos, a hogares de personas mayores

Para acceder a estos servicios o solventar cualquier duda se puede llamar a enviar un email a las siguientes direcciones:. 

Servicio Social de la Comarca de las Cinco Villas. Teléfono fijo y móvil: 976 677 559 y 649 763 002; email: accionsocial@comarcacincovillas.es 

Zona Ejea de los Caballeros: 976 677 933; administracion@elviraotal.es",42.124877,-1.140754,Atención/Cuidados,"976 677 933; administracion@elviraotal.es"
91,"Servicio público disponible",published,"2020-03-20 14:53:36","2020-03-20 15:51:44","2020-03-20 14:51:42",,,,,,"Geles hidroalcohólicos para personal sanitario (Cantabria Labs)",https://www.cantabrialabs.es/comunicacion/cantabria-labs-se-pone-en-marcha-para-fabricar-unidades-de-geles-hidroalcoholicos-higienizantes-para-el-personal-sanitario/,40.416705,-3.703582,Salud,hola@cantabrialabs.es
106,"Servicio público disponible",published,"2020-03-20 15:21:57","2020-03-20 15:50:36","2020-03-20 15:21:19",,,,,,"Lola Market. Tu compra a domiclio",https://lolamarket.com/es/es/,36.721303,-4.421637,Alimentación,tech@lolamarket.com
292,"Servicio público disponible",published,"2020-03-20 18:42:05","2020-03-20 20:58:34","2020-03-20 18:40:11",,,,,,"Canchas deportivas abiertas - Baño público","Plaza de Deportes n°1",-34.908201,-56.213902,"Higiene,Otros",www.facebook.com/ComisionPlazaUno
