"Post ID",Survey,"Post Status","Created (UTC)","Updated (UTC)","Post Date (UTC)","Contact ID",Contact,"Data Source ID",Source,"Unstructured Description","Título de la necesidad",Descripción,"Categorías relacionadas"
805,"Necesidad con intermediación",published,"2020-03-22 17:38:51","2020-03-22 17:44:49","2020-03-22 17:35:47",,,,,,"Se necesitan materiales para impresora 3D (PLA), logística para llegar a toda España, gomillas y acetato","Desde FIIXIT queremos poner nuestro granito de arena en esta situación tan complicada, por eso informamos que actualmente estamos imprimiendo en 3D mascarillas reutilizables de PLA. Estamos a disposición de los centros que las necesiten y todas las mascarillas serán DONADAS a los CENTROS SANITARIOS que nos lo SOLICITEN. 
Puedes ofrecer tu ayuda rellenando el siguiente formulario:

https://docs.google.com/forms/d/e/1FAIpQLSeT_LdxC9MB_1yoGf0WntDMDXeZYEIsD7ZtBIOpN3pC4_0IXQ/viewform","Maker (Impresión 3D / Mascarillas)"
907,"Necesidad con intermediación",published,"2020-03-22 23:00:32","2020-03-22 23:01:54","2020-03-22 22:58:09",,,,,,"Comprar medicamentos","Dejar los medicamentos en la puerta de casa (persona mayor en riesgo)",Salud
948,"Necesidad con intermediación",published,"2020-03-22 23:48:01","2020-03-23 09:26:15","2020-03-22 23:43:51",,,,,,"Necesidad material sanitario","Necesitamos material sanitario para los trabajadores del Hospital de Manises","Higiene,Salud,Maker (Impresión 3D / Mascarillas)"
978,"Necesidad con intermediación",published,"2020-03-23 00:50:23","2020-03-23 01:34:50","2020-03-23 00:46:41",,,,,,"Soy médico, estoy en aislamiento, vivo sola y me he quedado sin leche","Si algún vecino va a hacer la compra y pudiera tráeme un par de litros de leche desnatada y queso en lonchas. Puedo pagaros con bizum.",Alimentación
1062,"Necesidad con intermediación",published,"2020-03-23 09:43:17","2020-03-23 10:08:07","2020-03-23 09:37:31",,,,,,"acercar compra a domicilio","Me gustaría saber si hay algún servicio en Palencia que pueda acercar la compra a la casa de mis padres. Soy Susana y mi teléfono es 644474829. Gracias.",Alimentación
1066,"Necesidad con intermediación",published,"2020-03-23 09:52:00","2020-03-23 10:07:18","2020-03-23 09:47:41",,,,,,"Reparto a domicilio embutidos, quesos, legumbres, conservas, etc","Tengo un puesto de embutidos en el Mercado de Santa Florentina, y encargando el  producto por la mañana, lo reparto a domicilio por las tardes, sin ningún coste añadido.",Alimentación
1084,"Necesidad con intermediación",published,"2020-03-23 10:29:36","2020-03-23 12:09:27","2020-03-23 10:27:03",,,,,,"Sin techo","Un sin techo duerme en el cajero de la esquina.","Sin Techo"
1087,"Necesidad con intermediación",archived,"2020-03-23 10:35:15","2020-03-23 10:37:05","2020-03-23 10:33:41",,,,,,"Sin techo","Sin techo","Alimentación,Higiene,Atención/Cuidados,Acompañamiento en la calle,Acogida,Salud,Ayuda Psicológica,Otros,Sin Techo,Viseras y Mascarillas 3D,Respirador Maker,Mascarillas tela,Materiales y Puntos de Recogida (PLA, Tela...),Maestros / Clases"
1112,"Necesidad con intermediación",published,"2020-03-23 11:28:36","2020-03-23 12:24:27","2020-03-23 11:26:09",,,,,,"Soy un Sin Techo que busca la mejor forma de ayudar a los demás Sin Techo.","A través de Twitter @SinTechoMadrid",
1284,"Necesidad con intermediación",archived,"2020-03-23 16:05:17","2020-03-23 16:11:47","2020-03-23 15:59:30",,,,,,"Madrid cerrará la funeraria municipal ante la imposibilidad de continuar ""sin material""","Contactar con: Fineraria Municipal Madrid o con El Periodico - Las mascarillas y guantes se agotan en las funerarias
https://www.elperiodico.com/es/sociedad/20200323/madrid-cierre-funeraria-municipal-falta-material-coronavirus-7901298?utm_source=twitter&utm_medium=social&utm_campaign=cm
Madrid cerrará la funeraria municipal ante la imposibilidad de continuar ""sin material""","Mascarillas tela"
1360,"Necesidad con intermediación",published,"2020-03-23 18:31:07","2020-03-23 19:48:20","2020-03-23 18:27:50",,,,,,"No tengo ninguna ayuda porfavor",Alimentos,"Alimentación,Acogida,Salud,Ayuda Psicológica,Viseras y Mascarillas 3D,Materiales y Puntos de Recogida (PLA, Tela...)"
1407,"Necesidad con intermediación",published,"2020-03-23 19:44:12","2020-03-23 19:56:18","2020-03-23 19:29:07",,,,,,"EPIs Técnicos RX Hospital","Se necesitan mascarillas FFP2 y batas impermeables. Es para trabajadores del Hospital Nuestra Señora Del Prado (Talavera de la Reina), para un equipo de 50 personas de Técnicos de RX. Necesitan protegerse para poder realizar pruebas a los pacientes afectados por Covid19. Si alguien puede hacer una aportación, cualquier cantidad será de enorme ayuda. 
Por favor, podéis contactar por email a arubio721@gmail.com.
Muchas gracias.",Salud
1409,"Necesidad con intermediación",published,"2020-03-23 19:55:18","2020-03-23 20:04:24","2020-03-23 19:50:05",,,,,,"Comprar fruta y farmacia para señora mayor","Necesito que a mi madre le compren fruta y recojan medicamentos de la farmacia",Alimentación
1435,"Necesidad con intermediación",archived,"2020-03-23 22:11:52","2020-03-23 22:18:03","2020-03-23 22:10:28",,,,,,"Alimentos y medicinas","Alimentos y medicina","Alimentación,Salud"
1533,"Necesidad con intermediación",published,"2020-03-24 13:15:24","2020-03-24 13:15:31","2020-03-24 13:11:29",,,,,,"Material Sanitario para Hospitales Públicos ESPAÑA","campaña de recaudación de fondos para conseguir material médico para nuestro país.",Otros
1549,"Necesidad con intermediación",published,"2020-03-24 14:48:28","2020-03-24 14:48:43","2020-03-24 14:41:42",,,,,,"AMASOL precisa voluntari@ para campaña para compartir wifi y donar ordenadores","La asociación de familias monomarentales AMASOL (Zaragoza) necesita personas que le ayuden en la  campaña (cartel y difusión) “Comparte tu wifi”, para que los vecinos con familias monomarentales sin recursos compartan esta herramienta para que los menores puedan acceder a los programas educativos de sus propios colegios e institutos. https://www.amasol.es/","Atención/Cuidados,Acompañamiento en la calle,Acogida,Salud,Ayuda Psicológica"
1555,"Necesidad con intermediación",published,"2020-03-24 15:26:53","2020-03-24 15:39:38","2020-03-24 15:24:13",,,,,,"Sin Techo con dos perros.","Techo en el que poder pasar la cuarentena.","Sin Techo"
1556,"Necesidad con intermediación",published,"2020-03-24 15:34:56","2020-03-24 15:39:35","2020-03-24 15:32:13",,,,,,"Bajar basura personas mayores","Bajar la basura personas mayores","Higiene,Atención/Cuidados"
1574,"Necesidad con intermediación",published,"2020-03-24 16:08:13","2020-03-24 16:13:31","2020-03-24 16:04:58",,,,,,"Bajar basura personas mayores","Personas mayores necesitan bajar la basura al menos dos veces por semana","Higiene,Atención/Cuidados"
1598,"Necesidad con intermediación",published,"2020-03-24 18:44:18","2020-03-24 18:45:09","2020-03-24 18:40:51",,,,,,"Necesitamos urgentemente MASCARILLAS para mayores en residencia sociosanitaria","Hacen falta CON URGENCIA mascarillas en el centro socio-sanitario El Pino. Si conoces a alguien que las haga, aunque sean de tela, las venda o las done, por favor, avisar al teléfono 928292545.
Es urgente.","Mascarillas tela"
1715,"Necesidad con intermediación",published,"2020-03-25 11:46:11","2020-03-25 11:50:20","2020-03-25 11:41:01",,,,,,"La Residencia de Mayores “Francisco de Vitoria” de Alcalá necesita medios y auxiliares","NECESIDADES DE MATERIAL
Se necesitan gafas protectoras o pantallas, camisones abiertos y pijamas de caballero a ser posible de algodón porque luego serán lavados con agua muy caliente. Además se necesitan batas o delantales de plásticos, calzas, gorros desechables, todo con que puedan colaborar. Necesitan también mascarillas y palos de suero. Y hacen un llamamiento especial a los hoteles y gimnasios ya que ahora, al estar cerrados, agradecerían la donación de gorros de baño o batas desechables de las que encontramos en los spas.

NECESIDADES DE PERSONAL
También necesitan urgentemente DUEs, es decir, Diplomados Universitarios en Enfermería, y TCAEs, Técnicos en cuidados auxiliares en Enfermería. 

https://lalunadealcala.com/piden-ayuda-la-residencia-de-mayores-francisco-de-vitoria-de-alcala-necesita-colaboracion/","Otros,Viseras y Mascarillas 3D,Mascarillas tela"
1742,"Necesidad con intermediación",published,"2020-03-25 12:57:32","2020-03-25 13:05:52","2020-03-25 12:56:07",,,,,,"impresora 3d, necesito materias seguir","llevo 10 dias imprimiendo viseras de proteccion personal y se acaba el material, necesitamos pla de 1.75, plasticos semirigidos transparentes y gomas o bridas para el montaje","Viseras y Mascarillas 3D,Materiales y Puntos de Recogida (PLA, Tela...)"
1858,"Necesidad con intermediación",archived,"2020-03-25 17:07:59","2020-03-25 17:14:43","2020-03-25 17:06:15",,,,,,"ayuda médica","ayuda médica","Atención/Cuidados,Salud"
1868,"Necesidad con intermediación",draft,"2020-03-25 17:43:54",,"2020-03-25 17:41:11",,,,,,"Si conocéis gente que quiera trabajar con perfil Admon. que tenga experiencia en sanidad","Es muy urgente y sería en el Ministerio de sanidad. 
Centro de mando y control de COVID19 Ministerio de sanidad.
Para la coordinación de necesidades todos los hospitales de España. 
Turnos mañana,tarde y noche.
Si conocéis a alguien interesado/a que me envíe el cv",Salud
