"Post ID",Survey,"Post Status","Created (UTC)","Updated (UTC)","Post Date (UTC)","Contact ID",Contact,"Data Source ID",Source,"Unstructured Description",Título,Descripción,"Categorías relacionadas","Forma de contacto con el centro"
42,"Servicio público disponible",published,"2020-03-20 11:51:50","2020-03-20 12:02:28","2020-03-20 11:43:51",,,,,,"Recursos educativos en línea INTEF","Desde el INTEF, unidad del Ministerio de Educación y Formación Profesional, se ha diseñado este sitio web “Recursos para el aprendizaje en línea” , con el objetivo de ofrecer al profesorado, a las familias y al alumnado información sobre diferentes tipos de recursos (materiales, cursos de formación, plataformas, herramientas, etc.) que están a su disposición para ser utlizados en línea.
https://actua.frenalacurva.net/t/recursos-educativos-en-linea-intef/410",Otros,"910 837 937"
52,"Servicio público disponible",published,"2020-03-20 12:22:31","2020-03-20 13:03:39","2020-03-20 12:06:23",,,,,,"Telas para mascarillas para la cárcel de Zuera","La plataforma Enlazados se mueve para conseguir tela de algodón para hacer mascarillas, para todas las personas internas en la cárcel de Zuera.",Atención/Cuidados,info@caritas-zaragoza.es
60,"Servicio público disponible",archived,"2020-03-20 13:16:14","2020-03-20 16:21:14","2020-03-20 13:12:29",,,,,,"Pantallas 3D Instrucciones de producción y entrega en Aragón","El grupo Aramakers3D (CV_19_FAB Aragón) ha creado un modelo práctico y efectivo que se puede enviar al Gobiero de Aragón paar distribuir en los lugares que sea más necesario.
https://actua.frenalacurva.net/t/pantallas-3d-instrucciones-de-produccion-y-enttrga-en-aragon/2280","Maker (Impresión 3D / Mascarillas)",coronamakersaragon@gmail.com
62,"Servicio público disponible",published,"2020-03-20 13:24:07","2020-03-20 14:18:09","2020-03-20 13:20:35",,,,,,"Conexión de voluntariado para el cuidado de pequeños","Poner en contacto a voluntariado con familias que tengan la necesidad de encontrar a personas que puedan cuidar de sus hijos/as tras los cierres de los colegios en Zaragoza
https://actua.frenalacurva.net/t/asociacion-aldeha-conexion-de-voluntariado-para-cuidado-de-peques-zaragoza/100",,info@aldeha.es
69,"Servicio público disponible",published,"2020-03-20 13:40:44","2020-03-20 14:31:24","2020-03-20 13:34:51",,,,,,"Servicio de Voluntariado en Huesca","Fundación Cruz Blanca busca #voluntariado contra el #Coronavirus. Mediante atención telefónica en el #CentrodeEscucha Realizando servicio a domicilio Apoyando a personas #sinhogar https://actua.frenalacurva.net/t/voluntariado-en-huesca-con-fundacion-cruz-blanca/1875",Atención/Cuidados,voluntariado-aragon@cruzblanca.org
71,"Servicio público disponible",published,"2020-03-20 13:46:39","2020-03-20 17:06:51","2020-03-20 13:46:39",,,,,,"Teléfono amigo (961111822)","El Ayuntamiento de Torrent habilita un servicio en línea para atender a aquellas personas que viven solas y tengan la necesidad de conversar",,
72,"Servicio público disponible",published,"2020-03-20 13:50:26","2020-03-20 14:19:39","2020-03-20 13:47:13",,,,,,"Red Comunitaria para atención alimentaria","Red comunitaria e interbarrial para intervenir en toda esta problemática, dando un paso en la garantía de los derechos laborales y de la seguridad alimentaria de todas nuestras vecinas, en condiciones de salud.
https://actua.frenalacurva.net/t/3-rede-comunitaria-para-a-atencion-alimentaria-a-coruna/2068",Alimentación,diegomestizo@gmail.com
73,"Servicio público disponible",published,"2020-03-20 13:57:35","2020-03-20 14:20:08","2020-03-20 13:55:11",,,,,,Ajude(M)ollerussa,"El Ayuntamiento de Mollerussa ha activado un servicio para asistir a las personas vulnerables, ya sean personas mayores o colectivos de riesgo, afectadas por las medidas adoptadas por la Generalitat con el objetivo de prevenir la expansión del coronavirus. La voluntad es coordinar la ayuda que este colectivo pueda necesitar y hacer las derivaciones a los servicios adecuados, siempre aplicando los protocolos vigentes para evitar riesgos de contagio. Por ello, se pone a disposición de las personas que lo necesiten un teléfono directo, el 676 289 571.","Atención/Cuidados,Salud",ajuntament@mollerussa.cat
74,"Servicio público disponible",published,"2020-03-20 14:02:35","2020-03-20 14:32:52","2020-03-20 09:26:12",,,,,,"Proyecto Facilitamos ( recursos educativos) Departamento de Educación de  Aragón","El Departamento de Educación del Gobierno de Aragón dispone de este espacio virtual http://facilitamos.catedu.es donde la comunidad educativa puede localizar, clasificar , compartir recursos educativos. Está dividido por niveles y materias según el currículo aragonés.",Otros,correoeduca.aragon.es/
75,"Servicio público disponible",published,"2020-03-20 14:08:27","2020-03-20 14:17:38","2020-03-20 14:03:30",,,,,,"¿Y ahora qué hago en casa? Plan Integral Barrio Oliver","Generar una serie de actividades y consejos para las personas en tiempo de coronavirus
https://actua.frenalacurva.net/t/y-que-hago-en-casa-iniciativas-de-ocio-del-barrio-oliver-zaragoza/1946",Otros,noticias@barriooliver.com
76,"Servicio público disponible",published,"2020-03-20 14:10:27","2020-03-20 14:50:20","2020-03-20 14:07:04",,,,,,"Comarca Cinco Villas, Servicio de Apoyo a las personas mayores y otros colectivos vulnerables","Servicio especial para el apoyo emocional y psicosocial de las personas que viven solas durante la crisis del coronavirus, con la ayuda de voluntarios se está haciendo posible la llegada de alimentos, sobre todo frescos y básicos, a hogares de personas mayores

Para acceder a estos servicios o solventar cualquier duda se puede llamar a enviar un email a las siguientes direcciones:. 

Servicio Social de la Comarca de las Cinco Villas. Teléfono fijo y móvil: 976 677 559 y 649 763 002; email: accionsocial@comarcacincovillas.es 

Zona Sos del Rey Católico: 948 888 331 y 695 220 286; mjmalon@comarcacincovillas.es",Atención/Cuidados,"948 888 331 y 695 220 286; mjmalon@comarcacincovillas.es"
77,"Servicio público disponible",published,"2020-03-20 14:14:24","2020-03-20 14:17:19","2020-03-20 14:11:16",,,,,,"Comarca Cinco Villas, Servicio de Apoyo a las personas mayores y otros colectivos vulnerables","Servicio especial para el apoyo emocional y psicosocial de las personas que viven solas durante la crisis del coronavirus, con la ayuda de voluntarios se está haciendo posible la llegada de alimentos, sobre todo frescos y básicos, a hogares de personas mayores

Para acceder a estos servicios o solventar cualquier duda se puede llamar a enviar un email a las siguientes direcciones:. 

Servicio Social de la Comarca de las Cinco Villas. Teléfono fijo y móvil: 976 677 559 y 649 763 002; email: accionsocial@comarcacincovillas.es 

Zona Sádaba: 976675037; ssbsadaba@comarcacincovillas.es",Atención/Cuidados,"976675037; ssbsadaba@comarcacincovillas.es"
78,"Servicio público disponible",published,"2020-03-20 14:17:25","2020-03-20 14:31:19","2020-03-20 14:14:59",,,,,,"Comarca Cinco Villas, Servicio de Apoyo a las personas mayores y otros colectivos vulnerables","Servicio especial para el apoyo emocional y psicosocial de las personas que viven solas durante la crisis del coronavirus, con la ayuda de voluntarios se está haciendo posible la llegada de alimentos, sobre todo frescos y básicos, a hogares de personas mayores

Para acceder a estos servicios o solventar cualquier duda se puede llamar a enviar un email a las siguientes direcciones:. 

Servicio Social de la Comarca de las Cinco Villas. Teléfono fijo y móvil: 976 677 559 y 649 763 002; email: accionsocial@comarcacincovillas.es 

Zona Luna: 976 689 479; ssbluna@comarcacincovillas.es",Atención/Cuidados,"976 689 479; ssbluna@comarcacincovillas.es"
79,"Servicio público disponible",published,"2020-03-20 14:18:36","2020-03-20 17:05:32","2020-03-20 14:13:23",,,,,,"Te ayudamos a cuidarte 647761999","El Ayuntamiento de Silla pone a disposición de gente mayor y dependientes un servicio de compra de alimentos y/o medicamentos y te los lleva a casa","Alimentación,Salud",647761999
82,"Servicio público disponible",published,"2020-03-20 14:26:20","2020-03-20 14:36:03","2020-03-20 14:15:47",,,,,,"""Mejores prácticas para gestionar equipos de personas ante el Coronavirus""","""Mejores prácticas para gestionar equipos de personas ante el Coronavirus""
https://ecosh.org/",Otros,mashumano@ideas4us
83,"Servicio público disponible",published,"2020-03-20 14:30:19","2020-03-20 14:33:58","2020-03-20 14:27:59",,,,,,"Centro Mujer 24 horas - Generalitat Valenciana","Recibirás una atención directa gratuita en el ámbito social, psicológico y jurídico, por parte de profesionales, durante las 24 horas del día los 365 días del año.ç
- Acogida y escucha puntual y permanente.
- Información sobre tus derechos y sobre los recursos existentes para afrontar tu situación.","Atención/Cuidados,Acogida,Ayuda Psicológica",900580888
84,"Servicio público disponible",published,"2020-03-20 14:32:47","2020-03-21 05:02:04","2020-03-20 14:29:46",,,,,,"Recomendaciones a los sectores de Hostelería frente al Covid-19",https://www.heinekenespana.es/recomendaciones-para-los-negocios-de-hosteleria/,Otros,pilar.hermida@heineken.es
86,"Servicio público disponible",published,"2020-03-20 14:39:40","2020-03-21 05:01:59","2020-03-20 14:36:57",,,,,,"Servicio Telefónico para combatir la soledad de las personas mayores",https://www.alares.es/campana-gratuita-cuidado-mayores-coronavirus/#.XnTU6IhKjIV,Atención/Cuidados,info@alares.es
87,"Servicio público disponible",published,"2020-03-20 14:40:45","2020-03-20 16:21:03","2020-03-20 14:39:51",,,,,,"Servicio Telefónico para combatir la soledad de las personas mayores",https://www.alares.es/campana-gratuita-cuidado-mayores-coronavirus/#.XnTVwohKjIW,Atención/Cuidados,info@alares.es
88,"Servicio público disponible",published,"2020-03-20 14:48:20","2020-03-20 15:51:56","2020-03-20 14:43:37",,,,,,"Servicio para llevar alimentos a las familias más necesitadas","Square Ventures lleva alimentos a las familias más necesitadas
https://squareventures.es/una-iniciativa-de-square-ventures-lleva-alimentos-a-las-familias-mas-afectadas-por-el-coronavirus/",Atención/Cuidados,hola@squareventures.es
89,"Servicio público disponible",published,"2020-03-20 14:49:58","2020-03-20 14:50:06","2020-03-20 14:48:43",,,,,,"Comarca Cinco Villas, Servicio de Apoyo a las personas mayores y otros colectivos vulnerables","Servicio especial para el apoyo emocional y psicosocial de las personas que viven solas durante la crisis del coronavirus, con la ayuda de voluntarios se está haciendo posible la llegada de alimentos, sobre todo frescos y básicos, a hogares de personas mayores

Para acceder a estos servicios o solventar cualquier duda se puede llamar a enviar un email a las siguientes direcciones:. 

Servicio Social de la Comarca de las Cinco Villas. Teléfono fijo y móvil: 976 677 559 y 649 763 002; email: accionsocial@comarcacincovillas.es 

Zona Tauste: 976 859 144; ssbtauste@comarcacincovillas.es",Atención/Cuidados,"976 859 144; ssbtauste@comarcacincovillas.es"
90,"Servicio público disponible",published,"2020-03-20 14:51:49","2020-03-20 14:51:56","2020-03-20 14:50:27",,,,,,"Comarca Cinco Villas, Servicio de Apoyo a las personas mayores y otros colectivos vulnerables","Servicio especial para el apoyo emocional y psicosocial de las personas que viven solas durante la crisis del coronavirus, con la ayuda de voluntarios se está haciendo posible la llegada de alimentos, sobre todo frescos y básicos, a hogares de personas mayores

Para acceder a estos servicios o solventar cualquier duda se puede llamar a enviar un email a las siguientes direcciones:. 

Servicio Social de la Comarca de las Cinco Villas. Teléfono fijo y móvil: 976 677 559 y 649 763 002; email: accionsocial@comarcacincovillas.es 

Zona Ejea de los Caballeros: 976 677 933; administracion@elviraotal.es",Atención/Cuidados,"976 677 933; administracion@elviraotal.es"
91,"Servicio público disponible",published,"2020-03-20 14:53:36","2020-03-20 15:51:44","2020-03-20 14:51:42",,,,,,"Geles hidroalcohólicos para personal sanitario (Cantabria Labs)",https://www.cantabrialabs.es/comunicacion/cantabria-labs-se-pone-en-marcha-para-fabricar-unidades-de-geles-hidroalcoholicos-higienizantes-para-el-personal-sanitario/,Salud,hola@cantabrialabs.es
106,"Servicio público disponible",published,"2020-03-20 15:21:57","2020-03-20 15:50:36","2020-03-20 15:21:19",,,,,,"Lola Market. Tu compra a domiclio",https://lolamarket.com/es/es/,Alimentación,tech@lolamarket.com
292,"Servicio público disponible",archived,"2020-03-20 18:42:05","2020-03-23 08:27:09","2020-03-20 18:40:11",,,,,,"Canchas deportivas abiertas - Baño público","Plaza de Deportes n°1","Higiene,Otros",www.facebook.com/ComisionPlazaUno
328,"Servicio público disponible",published,"2020-03-21 08:11:19","2020-03-21 08:11:35","2020-03-21 08:07:32",,,,,,"REPARA:Tratamiento psicosocial de las conductas y actitudes que provocan la violencia de género","REPARA es un servicio de atención psicosocial del Ayuntamiento de Valencia a hombres para promover relaciones de pareja igualitarias, sin ningún tipo de violencia contra las mujeres.

Es un espacio de reflexión, escucha y confidencialidad, donde te ayudaremos a establecer relaciones positivas y de respeto.

En REPARA, personas profesionales especializadas te proporcionarán recursos para fomentar conductas y actitudes de buen trato, establecer vínculos saludables y construir relaciones libres de violencia.","Atención/Cuidados,Ayuda Psicológica","670 365 825 / repara.psima@valencia.es"
331,"Servicio público disponible",published,"2020-03-21 08:15:33","2020-03-21 14:10:43","2020-03-21 08:12:25",,,,,,"Necesitamos voluntari@s: Ayuntamiento de Benetússer","¿Tienes máquina de coser? ¿Eres de Benetússer? esde la Concejalía de Sanidad y Participación Ciudadana estamos creando una red de voluntari@s para la confección de mascarillas para el Hospital Universitario Doctor Peset.",Higiene,"Whatsapp al 677112100"
332,"Servicio público disponible",published,"2020-03-21 08:18:27","2020-03-21 08:22:35","2020-03-21 08:16:08",,,,,,"Teléfono municipial de apoyo psicológico: Ayuntamiento de Riba-roja de Túria","Debido a la situación actual, el Ayuntamiento pone en marcha a partir del sábado 21 de marzo un servicio de apoyo psicológico para las personas que estén sufriendo una situación de ansiedad, de estrés, miedo o que no sepa como afrontar la situación con sus hijos o personas con diversidad funcional.

El servicio no tiene coste adicional y está formado por 3 psicólogas y una terapeuta, además de estar en coordinación con el Centro de Salud del municipio.

Si conoces alguien que lo necesite o alguna persona mayor a quien le pueda resultar útil, no dudes en compartir el teléfono, el 680 196 487.","Atención/Cuidados,Ayuda Psicológica",680196487
375,"Servicio público disponible",published,"2020-03-21 13:31:30","2020-03-21 13:35:45","2020-03-21 13:29:16",,,,,,"Bolsa de voluntarios para desinfección de calles - Ayuntamiento de Cheste","La brigada y el personal de Fovasa contarán con la ayuda de agricultores para desinfectar las calles en caso de necesidad.

Los agricultores que dispongan de pulverizadores con manguera y pistola o atomizadores que deseen ofrecerse para colaborar en labores de desinfección, pueden inscribirse llamando al 96 251 00 15 a partir del lunes 23 de marzo.","Higiene,Salud",962510015
378,"Servicio público disponible",published,"2020-03-21 13:34:58","2020-03-21 13:36:17","2020-03-21 13:32:43",,,,,,"Ayuntamiento de Picasset - Sevicios Sociales de atención a mayores, enfermos o dependientes","Sevicios Sociales de atención a mayores, enfermos o dependientes del Ayuntamiento de Picassent.",Atención/Cuidados,961222018
379,"Servicio público disponible",published,"2020-03-21 13:38:35","2020-03-21 13:46:17","2020-03-21 13:35:28",,,,,,"Servicio de WhatsApp en casos de emergencia y necesidad del Ayuntamiento de Mislata","SMS y/o WhatsApp para casos de emergencia y necesidad. Sólo mensajes y/o WhatsApp.",,"666428795 / 666428800 / 673518727"
385,"Servicio público disponible",published,"2020-03-21 14:03:18","2020-03-21 14:04:47","2020-03-21 13:59:40",,,,,,"Servei Bon Dia Cunit","Servei municipal d'ajut de persones per fer compres d’aliments, productes d’higiene personal i medicaments.","Alimentación,Higiene,Atención/Cuidados,Salud,Ayuda Psicológica",ajuntament@cunit.cat
386,"Servicio público disponible",published,"2020-03-21 14:07:12","2020-03-21 14:09:20","2020-03-21 14:02:27",,,,,,"Drones para vigilancia - FFCCSE","Uso de drones para vigilar y avisar a los ciudadanos de que permanezcan en su casa.
Vigilancia y Seguridad
Disponible 24h","Atención/Cuidados,Otros",info@motivadrone.com
400,"Servicio público disponible",published,"2020-03-21 15:08:01","2020-03-21 15:17:41","2020-03-21 15:08:01",,,,,,"REPARTO A DOMICILIO GRATUITO","Desde La Cucufata hacemos reparto totalmente gratuito por zona Bermejales y alrededores. Tenemos productos de 1a necesidad (pan, huevos, lacteos, productos infantiles...). Telf: 635031251","Alimentación,Higiene,Comercio de Proximidad","635031251, tienda@lacucufata.com, redes sociales: lacucufatasevilla"
405,"Servicio público disponible",published,"2020-03-21 15:58:27","2020-03-21 16:13:55","2020-03-21 15:51:50",,,,,,"Servicios Sociales Comarca del Aranda","Servicio especial para personas mayores y otras patologías  durante la crisis del coronavirus, con la ayuda de profesionales del SAD Y Centro de Día. Si necesitas ayuda para realizar la compra de alimentos y/o medicamentos o comida a domicilio ¡avísanos!

Puedes llamar a enviar un email a las siguientes direcciones:.

Servicios Sociales Comarca del Aranda 
Teléfono fijo 876539916
Móvil 626345489
adminssb@comarcadelaranda.es","Alimentación,Higiene,Atención/Cuidados,Acompañamiento en la calle,Salud,Ayuda Psicológica,Otros","876539916 adminssb@comarcadelaranda.es"
409,"Servicio público disponible",published,"2020-03-21 16:25:35","2020-03-21 18:14:55","2020-03-21 16:16:33",,,,,,"Teléfono para personas mayores Solas o Aisladas (Ayuda Psicológica)","Número telefónico gratuito y llamadas anónimas. Telefono disponible 24h, serán atendidos por un grupo de expertos sociales y psicólogos.  Empresa ""Alares"", que ofrece gratuitamente sus servicios al Excmo. Ayuntamiento de Los Corrales de Buelna.","Ayuda Psicológica","900 877 037"
411,"Servicio público disponible",published,"2020-03-21 16:31:31","2020-03-21 18:14:55","2020-03-21 16:24:48",,,,,,"Comercio Juan Fernández Pérez","Comercio de proximidad abierto y a tu servicio. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: www.mercado47.com","Alimentación,Comercio de Proximidad",915771211
412,"Servicio público disponible",published,"2020-03-21 16:32:02","2020-03-21 17:03:19","2020-03-21 16:23:06",,,,,,BioBio,"Proveedor productos ecológicos. Comercio de proximidad abierto y a tu servicio. Consultar posible reparto a domicilio. Horario: de lunes a viernes de 09.00 a 15.00 horas y de 16.00 a 20.00  Sábados y domingos cerrados
http://www.biobioproductosecologicos.com/","Comercio de Proximidad","912 31 85 00"
413,"Servicio público disponible",published,"2020-03-21 16:33:11","2020-03-21 18:14:55","2020-03-21 16:31:19",,,,,,Becertify,"Creación y gestión de permisos de desplazamiento laboral gratuitos",Otros,https://becertify.io/covid
414,"Servicio público disponible",published,"2020-03-21 16:34:31","2020-03-21 18:14:55","2020-03-21 16:44:21",,,,,,"Pescadería José Ramón","Comercio de proximidad abierto y a tu servicio. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: www.mercado47.com","Alimentación,Comercio de Proximidad",915759111
415,"Servicio público disponible",published,"2020-03-21 16:36:04","2020-03-21 18:36:36","2020-03-21 16:27:11",,,,,,"Mercado Municipal de Villa de Vallecas","Comercio de proximidad abierto y a tu servicio. Carnes, embutidos, huevos, pescado, frutas, verduras, pan, ultramarinos. Si tienes dudas sobre horarios o productos puedes contactar antes de desplazarte. También consultar posible servicio a domicilio.","Alimentación,Comercio de Proximidad","917 777 151"
416,"Servicio público disponible",published,"2020-03-21 16:37:14","2020-03-21 18:14:55","2020-03-21 16:09:38",,,,,,"Red de apoyo a mayores dependientes (por voluntarios). Aplicación para dispositivos móviles: COVIDA","La aplicación gestiona una red de apoyo de voluntarios a las personas mayores en situación de dependencia o necesidades especiales, en el ámbito geográfico de las Islas Canarias, para la compra de medicamentos y alimentación, principalmente. Iniciativa de la Consejería de Derechos Sociales, Igualdad, Diversidad y Juventud del Gobierno de Canarias .","Alimentación,Salud",https://covida.app
417,"Servicio público disponible",published,"2020-03-21 16:38:33","2020-03-21 18:14:55","2020-03-21 16:46:52",,,,,,"Comercio La Boulette","Comercio de proximidad abierto y a tu servicio. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: www.mercado47.com","Alimentación,Comercio de Proximidad",914317725
418,"Servicio público disponible",published,"2020-03-21 16:40:46","2020-03-21 18:17:44","2020-03-21 16:51:03",,,,,,"Comercio PYANN","Comercio de proximidad abierto y a tu servicio. Venta y arreglo de zapatos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y entrega y recogida  a domicilio disponible.","Alimentación,Comercio de Proximidad","915755734 / www.mercado47.com"
419,"Servicio público disponible",published,"2020-03-21 16:41:33","2020-03-21 18:18:31","2020-03-21 16:36:17",,,,,,"Mercado Municipal de Villaverde Alto","Comercio de proximidad abierto y a tu servicio. Carnes, embutidos, huevos, pescado, frutas, verduras, pan, ultramarinos. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias, Si tienes dudas sobre horarios o productos puedes contactar antes de desplazarte. Disponible servicio a domicilio.",Alimentación,"917 971 143"
420,"Servicio público disponible",published,"2020-03-21 16:42:12","2020-03-21 16:59:18","2020-03-21 16:32:35",,,,,,"Dehesa El Milagro","Productor ecológico. Frutas, verduras, hortalizas, carne, harinas, panes, repostería, lácteos, huevos. Comercio de proximidad abierto y a tu servicio. Consultar posible reparto a domicilio. Horario: de Lunes a Viernes de 9.00 a 20.00 Sábados y Domingos cerrados
https://dehesaelmilagro.com/?utm_source=GMB&utm_medium=organic","Comercio de Proximidad","619 56 16 08  info@dehesaelmilagro.com"
421,"Servicio público disponible",published,"2020-03-21 16:42:48","2020-03-21 18:22:17","2020-03-21 16:53:07",,,,,,"Comercio Casa Dani","Comercio de proximidad abierto y a tu servicio. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible.","Alimentación,Comercio de Proximidad","915755925 / www.mercado47.com"
422,"Servicio público disponible",published,"2020-03-21 16:43:26","2020-03-21 18:14:05","2020-03-21 16:41:43",,,,,,"Mercado Municipal de Las Ventas","Comercio de proximidad abierto y a tu servicio. Carnes, embutidos, huevos, pescado, frutas, verduras, pan, ultramarinos. Si tienes dudas sobre horarios o productos puedes contactar antes de desplazarte. Consultar posible servicio a domicilio.",Alimentación,"910 51 17 26"
423,"Servicio público disponible",published,"2020-03-21 16:44:24","2020-03-21 18:14:05","2020-03-21 16:55:21",,,,,,"Comercio 12 chiles","Comercio de proximidad abierto y a tu servicio. Productos argentinos. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: www.mercado47.com","Alimentación,Comercio de Proximidad",914997043
425,"Servicio público disponible",published,"2020-03-21 16:46:37","2020-03-21 16:57:44","2020-03-21 16:42:41",,,,,,Biolíbere,"Productos ecológicos. frutas, verduras, hortalizas. Comercio de proximidad abierto y a tu servicio. Consultar posible reparto a domicilio. Horario: Martes a Sábado de 10:00 a 14:00 y de 17:00 a 20:00 . Domingo y Lunes cerrado
http://biolibere.es/","Comercio de Proximidad","912 060 323 info@biolibere.es"
426,"Servicio público disponible",published,"2020-03-21 16:47:15","2020-03-21 18:14:05","2020-03-21 16:58:35",,,,,,"Comercio Sanabria Catering","Comercio de proximidad abierto y a tu servicio. Comida a domicilio. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: www.mercado47.com","Alimentación,Comercio de Proximidad",914312535
427,"Servicio público disponible",published,"2020-03-21 16:48:26","2020-03-21 18:14:05","2020-03-21 16:59:34",,,,,,"Comercio Freiduría Oñate","Comercio de proximidad abierto y a tu servicio. Comida a domicilio. Se garantiza el suministro de alimentos. Cambio de horario de 9 a 15 horas de lunes a sábado. Cumpliendo la normativa de la Comunidad de Madrid se han reforzado las medidas higiénicas y sanitarias. Se recomienda realizar la compra online o telefónicamente. Servicio telefónico de pedidos y reparto a domicilio disponible: www.mercado47.com","Alimentación,Comercio de Proximidad",915755735
