"Post ID",Survey,"Post Status","Created (UTC)","Updated (UTC)","Post Date (UTC)","Contact ID",Contact,"Data Source ID",Source,"Unstructured Description","Título de la necesidad",Descripción,"Categorías relacionadas"
352,"Necesidad propia",published,"2020-03-21 10:41:49","2020-03-21 10:44:24","2020-03-21 10:34:38",,,,,,"Necesitamos 10 voluntarios para coser mascarillas a máquina.","A partir del lunes necesitamos a 10 personas que sepan coser a máquina, para acudir, en un vehículo que es de 60 plazas, que solamente nos llevará a nuestro grupo de voluntarios/as, a las instalaciones de la empresa Arpa en la Muela (polígono CentroVía). La intención en producir 5.000 mascarillas por semana de algodón reutilizable. Nuestros voluntarios/as fabricarán mascarillas en horario de 15.30 a 20.30 horas.","Atención/Cuidados,Maker (Impresión 3D / Mascarillas)"
371,"Necesidad propia",published,"2020-03-21 12:50:26","2020-03-21 12:55:50","2020-03-21 12:48:11",,,,,,"necesitan médicos y enfermeras para trabajar fin de semana hospital IFEMA MADRID","TRABAJO HOSPITAL IFEMA MADRID",Atención/Cuidados
372,"Necesidad propia",published,"2020-03-21 12:53:12","2020-03-21 12:56:44","2020-03-21 12:50:33",,,,,,"trabajo fin de semana hospital IFEMA MADRID Médicos y enfermeras","trabajo fin de semana hospital IFEMA MADRID médicos y enfermeras",Atención/Cuidados
478,"Necesidad propia",published,"2020-03-21 17:50:05","2020-03-21 19:02:31","2020-03-21 17:49:13",,,,,,"Bolsa de Profesionales para apoyar a entidades en el sector de la discapacidad","La entidad Plena Inclusión Aragón desea generar una bolsa de profesionales que  puedan apoyar a entidades que trabajan con el ambito de la discapacidad en todas sus manifestaciones para las necesidades que se requieran. Esta bolsa se formará con profesionales en las provincias de Zaragoza, Huesca y Teruel. 
https://www.plenainclusion.org/
Para ello podrás enviar tu cv a: evavelazquez@plenainclusionaragon.com","Atención/Cuidados,Otros"
614,"Necesidad propia",archived,"2020-03-22 09:29:31","2020-03-24 13:43:26","2020-03-22 09:26:28",,,,,,"(enviado mail)Necesitamos mascarillas estoy con madre de 80 años","Ayuda psicológica y mascarilla estoy con madre de 80 años,hipertensa y con mucha ansiedad.Quiere salir a la calle permanentemente y estoy aquí para prohibirselo.","Higiene,Ayuda Psicológica"
628,"Necesidad propia",published,"2020-03-22 10:03:52","2020-03-22 10:05:56","2020-03-22 09:59:01",,,,,,"URGENTE se necesita enfermeros/enfermeras y auxiliares","necesitan enfermeros y auxiliares hospital 12 de octubre Madrid",
648,"Necesidad propia",published,"2020-03-22 10:38:56","2020-03-23 20:18:41","2020-03-22 10:04:54",,,,,,"La UPCT necesita velcro, gomas y acetatos para terminar las viseras que se enviarán a los sanitarios durante la crisis del COVID-19","Desde la UPCT, se van a imprimir “todas las viseras que se pueda”, motivo por el que necesitan velcro de 8 mm y elástico para poder concluirlas una vez se impriman con la tecnología 3D.","Maker (Impresión 3D / Mascarillas)"
813,"Necesidad propia",published,"2020-03-22 17:59:45","2020-03-22 17:59:59","2020-03-22 17:38:38",,,,,,"Llamamiento para personal voluntario","Fundación SAMU hace un llamamiento para voluntariado en las siguientes categorías: Médicos, Enfermeros, TES. Farmacia, Estudiantes de Medicina. Aux. Clínica, Logistas, Psicólogos, Educadores, Trabajadores Sociales, Conductores, Personal de Mantenimiento, Costureras y Monitores. Escribir un mail indicando en el asunto VOLUNTARIADO FUNDACION SAMU COVID 19",Otros
828,"Necesidad propia",published,"2020-03-22 18:52:13","2020-03-22 18:55:58","2020-03-22 18:49:00",,,,,,"aportar material para impresora 3D","aportar material para impresora 3D para hacer pantallas protectoras, laminas pvc y gomas elásticas",
833,"Necesidad propia",published,"2020-03-22 19:12:34","2020-03-22 19:15:22","2020-03-22 19:09:00",,,,,,"Mascarilla persona alto riesgo","Convivo con dos personas de alto riesgo y una de ellas tiene tos, la tenemos en cuarentena en una habitación pero no tenemod más mascarillas y no sabemos donde encontrar. Actualmente usa una que le he hecho con tela y filtro del cafe pero no tenemos mas.
Las necesitamos por el y por la otra persona de alto riesgo, y por mi. Gracias de corazón","Atención/Cuidados,Salud,Maker (Impresión 3D / Mascarillas)"
861,"Necesidad propia",published,"2020-03-22 20:42:48","2020-03-23 20:47:56","2020-03-22 20:31:39",,,,,,"Ir a comprar al Mercado Santa Florentina (Cartagena) para que no lo tengan que cerrar","Ayudar a los pequeños comerciantes del Mercado San Isidoro y Santa Florentina comprando en el pequeño comercio para no tener que cerrar el mercado que tiene los mejores productos frescos de Cartagena. Ayudemos a nuestro mercado al que siempre iban las personas mayores a comprar y ahora no pueden hacerlo",Alimentación
889,"Necesidad propia",published,"2020-03-22 22:33:05","2020-03-25 11:53:10","2020-03-22 22:24:06",,,,,,"Soy diabetica y necesito recoger matiriales para el control en el centro de salud","hay que ir al Centro de salud de la calle de Riaza 5 y recoger el paquete se suministros",Atención/Cuidados
897,"Necesidad propia",published,"2020-03-22 22:44:01","2020-03-25 11:55:09","2020-03-22 22:40:35",,,,,,"Ayuda para recoger material para el control de diabeticos","Recoger en el centro de saluda de la calle de Riaza 5. Es un paquete ya preparado y te lo dan en la puerta",Atención/Cuidados
945,"Necesidad propia",archived,"2020-03-22 23:46:22","2020-03-23 09:27:18","2020-03-22 23:43:04",,,,,,"Formación reglada con titulación homologada","Cursos administrativas",
953,"Necesidad propia",published,"2020-03-22 23:53:43","2020-03-24 13:43:04","2020-03-22 23:51:40",,,,,,Compra,Compra,"Alimentación,Higiene"
963,"Necesidad propia",archived,"2020-03-23 00:19:07","2020-03-23 09:24:21","2020-03-23 00:18:07",,,,,,Compra,"Compra, (en gestión con entidades proximas)","Alimentación,Higiene"
966,"Necesidad propia",published,"2020-03-23 00:24:04","2020-03-23 04:44:25","2020-03-23 00:21:34",,,,,,"Ayuda para ir a la compra","me ofrezco para ir a la compra","Alimentación,Higiene"
991,"Necesidad propia",published,"2020-03-23 01:45:02","2020-03-23 04:04:27","2020-03-23 01:35:45",,,,,,"Soy un Sin Techo, que busca dónde están los demás Sin Techo, para ofrecerles toda la ayuda que pueda. ¿Me ayudas?","Añade al mapa, a los Sin Techo de tu zona, para que podamos enviarle o buscar alternativas para el.","Alimentación,Higiene,Atención/Cuidados,Acogida,Salud,Maker (Impresión 3D / Mascarillas),Ayuda Psicológica,Otros"
1040,"Necesidad propia",published,"2020-03-23 08:43:57","2020-03-23 08:44:10","2020-03-23 08:38:51",,,,,,"IFEMA. SE NECESITAN CELADORES","se necesitan celadores para IFEMA Turno de 8:00 a 15:00 yde 15:00a 22:00",Atención/Cuidados
1058,"Necesidad propia",published,"2020-03-23 09:36:31","2020-03-23 10:08:46","2020-03-23 09:34:17",,,,,,"Necesito ir a comprar",Compra,"Alimentación,Higiene"
1060,"Necesidad propia",published,"2020-03-23 09:42:49","2020-03-23 10:08:27","2020-03-23 09:41:55",,,,,,Comprar,Comprar,"Alimentación,Higiene"
1128,"Necesidad propia",published,"2020-03-23 12:24:26","2020-03-23 12:25:58","2020-03-23 11:25:46",,,,,,"Necesito donaciones de bieses textiles y goma fina para confeccion de mascarillas","Estoy en Basauri y es zona de gran riesgo de contagio, estoy confeccionando mascarillas para donar a los vecinos de mi zona que tienen que trabajar a diario de cara al publico. He conseguido que una lavandería me done sabanas de algodón y he contactado con varias personas dispuesta a ayudarme a coser, pero me faltan bieses y gomas para realizarlas. Con los materiales que yo tenia en mi casa he confeccionado 100 mascarillas que ya he repartido, pero hacen falta muchas mas. Por ello pido donaciones de bieses y gomas para hacer mas mascarillas.","Alimentación,Higiene,Atención/Cuidados,Acompañamiento en la calle,Acogida,Salud,Ayuda Psicológica,Otros,Viseras y Mascarillas 3D,Respirador Maker,Mascarillas tela,Materiales y Puntos de Recogida (PLA, Tela...)"
1139,"Necesidad propia",published,"2020-03-23 12:42:12","2020-03-23 12:44:11","2020-03-23 12:41:16",,,,,,Alojamiento,"Habitación  para dos noches","Acogida,Otros"
1146,"Necesidad propia",published,"2020-03-23 13:07:48","2020-03-23 13:41:44","2020-03-23 12:13:30",,,,,,"Necesito tela y gomas para realizar mascarillas caseras.","Hola soy Matilde un particular con máquina de coser en Villalbilla(Madrid). Puedo ayudar en lo que pueda haciendo mascarillas caseras. Pero necesito material.","Higiene,Salud,Mascarillas tela,Materiales y Puntos de Recogida (PLA, Tela...)"
1168,"Necesidad propia",published,"2020-03-23 13:37:16","2020-03-23 13:41:34","2020-03-23 13:30:50",,,,,,"VOLUNTARIOS PARA AYUDAR EN RESIDENCIAS","Hola! Buscamos voluntarios para trabajos varios. Con contrato eventual a jornada completa. Si eres de lejos, estamos habilitando casas para que te puedas quedar a dormir. Si no puedes ayudar de forma fija, también podemos hablar para hacerlo de forma puntual. 
También si puedes elaborar y proporcionarnos material, agradecemos que contactes con nosotros!!

Los que nos contacteis, identificaros como miembros de FrenaLaCurva

Gracias!!","Atención/Cuidados,Salud,Otros,Viseras y Mascarillas 3D,Respirador Maker,Mascarillas tela,Materiales y Puntos de Recogida (PLA, Tela...)"
1212,"Necesidad propia",published,"2020-03-23 14:38:01","2020-03-23 16:14:32","2020-03-23 14:35:39",,,,,,"Necesito tela y gomas para hacer mascarillas caseras","Quiero ayudar desde casa. Tengo maquina de coser y puedo coser mascarillas. Pero necesito el material.","Higiene,Salud,Mascarillas tela"
1222,"Necesidad propia",published,"2020-03-23 14:49:22","2020-03-23 15:05:30","2020-03-23 14:47:19",,,,,,"Necesitamos mascarilla y guantes para un enfermo de Cáncer","Necesitamos una mascarilla y guantes para el jueves 26 ya que tengo que ir a darme quimio al Severo ochoa",Higiene
1264,"Necesidad propia",published,"2020-03-23 15:44:17","2020-03-23 16:03:08","2020-03-23 15:42:34",,,,,,"Necesito alguien para hacer la compra a personas mayores","Yo me ofrecí para hacer la compra a mis vecinos pero estoy con el virus y no puedo hacerlo, alguien sabría cómo puedo contactar con alguien que lo haga? Gracias",Alimentación
1267,"Necesidad propia",published,"2020-03-23 15:45:21","2020-03-23 16:02:42","2020-03-23 15:43:49",,,,,,"Mascarilla por ser paciente de riesgo","Mascarilla por ser paciente de riesgo","Mascarillas tela"
1277,"Necesidad propia",published,"2020-03-23 15:55:56","2020-03-23 16:01:03","2020-03-23 15:54:18",,,,,,"Se necesitan fontaneros para montar la instalación de oxigeno  en el hospital de campaña de IFEMA","solicitad voluntarios que tengan herramienta propia. Soldadura en cobre y plata al 25% y ensamble tuberías de vacío con polietileno.",Otros
1311,"Necesidad propia",published,"2020-03-23 16:49:12","2020-03-24 09:07:28","2020-03-23 16:47:42",,,,,,"Ya tenemos mascarilla!","Ya tenemos mascarilla!!",
1345,"Necesidad propia",published,"2020-03-23 18:23:00","2020-03-23 19:05:00","2020-03-23 18:19:10",,,,,,Alimentación,"Necesito que me vayan a comprar comida soy una mujer de 64 años con asma",Alimentación
1346,"Necesidad propia",published,"2020-03-23 18:23:32","2020-03-23 19:05:09","2020-03-23 18:21:35",,,,,,"No cobramos nada necesitamos alimentos e higiene","Alimentos e higiene","Alimentación,Higiene,Atención/Cuidados,Acompañamiento en la calle,Acogida,Salud,Ayuda Psicológica,Otros,Viseras y Mascarillas 3D,Respirador Maker,Mascarillas tela,Materiales y Puntos de Recogida (PLA, Tela...)"
1348,"Necesidad propia",published,"2020-03-23 18:24:53","2020-03-23 19:05:35","2020-03-23 18:23:10",,,,,,"Facturas pañales y comer","Necesito pagar factura comer y pañales","Alimentación,Higiene"
1350,"Necesidad propia",archived,"2020-03-23 18:25:52","2020-03-24 09:04:52","2020-03-23 18:20:49",,,,,,"Mi esposo y yo estamos aislados por dar positivo y tenemos  3 niños y necesito  hacer compras (enviado mail)","Compras decprinera necesidad","Alimentación,Higiene"
1352,"Necesidad propia",published,"2020-03-23 18:26:25","2020-03-23 19:54:56","2020-03-23 18:19:23",,,,,,"Necesito alimentos no tengo dinero para comprar","Hola perdon por las molestias, no tengo dinero para comprar alimentos somos 2 personas, y esta pandemia nos ha pillado en muy mal estado financiero. No tenemos ingresos para comprar alimentos... que podemos hacer en este caso...Gracias y Saludos !",Alimentación
1355,"Necesidad propia",published,"2020-03-23 18:27:22","2020-03-23 19:51:35","2020-03-23 18:23:11",,,,,,Alimentación,"Necesito productos de alimentación o comida preparada","Alimentación,Higiene"
1357,"Necesidad propia",published,"2020-03-23 18:28:06","2020-03-23 19:20:08","2020-03-23 18:23:59",,,,,,"Ayuda a traer la compra","Vivo con dos niños unos de ellos con cardiopatía y Asmáticos, y yo la madre Asiática","Alimentación,Higiene,Atención/Cuidados,Acompañamiento en la calle,Acogida,Salud,Ayuda Psicológica,Otros,Viseras y Mascarillas 3D,Respirador Maker,Mascarillas tela,Materiales y Puntos de Recogida (PLA, Tela...)"
1358,"Necesidad propia",published,"2020-03-23 18:29:21","2020-03-23 19:48:08","2020-03-23 18:24:34",,,,,,"Compra alimentos","Necesito ayuda para para alimentos",Alimentación
1359,"Necesidad propia",published,"2020-03-23 18:30:31","2020-03-23 19:20:33","2020-03-23 18:27:41",,,,,,Alimentación,"Persona con asma necesita que le traigan la compra para no salir a la calle",Alimentación
1367,"Necesidad propia",archived,"2020-03-23 18:41:13","2020-03-24 09:13:18","2020-03-23 18:39:18",,,,,,"Alimentación a domicilio","Necesito ayuda para la compra del supermercado",Alimentación
1370,"Necesidad propia",published,"2020-03-23 18:44:11","2020-03-23 19:35:09","2020-03-23 18:42:47",,,,,,"Alimentación a domicilio","Necesito alimentos a domicilio",Alimentación
1374,"Necesidad propia",published,"2020-03-23 18:47:29","2020-03-24 08:48:36","2020-03-23 18:45:33",,,,,,Alimentos,Alimentos,"Alimentación,Higiene,Atención/Cuidados,Acompañamiento en la calle,Acogida,Salud,Ayuda Psicológica,Otros,Viseras y Mascarillas 3D,Respirador Maker,Mascarillas tela,Materiales y Puntos de Recogida (PLA, Tela...)"
1377,"Necesidad propia",published,"2020-03-23 18:50:19","2020-03-23 19:27:30","2020-03-23 18:49:11",,,,,,Alimentos,"Alimentos y ayuda para pagos","Alimentación,Higiene,Atención/Cuidados,Acompañamiento en la calle,Acogida,Salud,Ayuda Psicológica,Otros,Viseras y Mascarillas 3D,Respirador Maker,Mascarillas tela,Materiales y Puntos de Recogida (PLA, Tela...)"
1381,"Necesidad propia",published,"2020-03-23 18:54:54","2020-03-23 19:25:54","2020-03-23 18:49:43",,,,,,"Minusválida,alimentación e higiene para la casa y personal","Necesito ayuda para comida,limpieza hogar y cosas de higiene personal","Alimentación,Higiene,Atención/Cuidados,Acompañamiento en la calle,Acogida,Salud,Ayuda Psicológica,Otros,Viseras y Mascarillas 3D,Respirador Maker,Mascarillas tela,Materiales y Puntos de Recogida (PLA, Tela...)"
1385,"Necesidad propia",published,"2020-03-23 18:59:34","2020-03-24 13:40:58","2020-03-23 18:56:42",,,,,,"Necesito ayuda","Estoy operado de corazón,sin paro ni ayuda,con tratamiento,sin recursos","Alimentación,Ayuda Psicológica,Mascarillas tela"
1433,"Necesidad propia",published,"2020-03-23 22:06:53","2020-03-24 08:41:59","2020-03-23 22:04:49",,,,,,"hacer la compra","Hacer la compra y medicamentos","Alimentación,Salud"
1437,"Necesidad propia",archived,"2020-03-23 22:17:00","2020-03-23 22:18:35","2020-03-23 22:16:38",,,,,,"Alimentos y medicina","Alimentación y medicina","Alimentación,Salud,Otros"
1482,"Necesidad propia",published,"2020-03-24 09:17:05","2020-03-24 09:17:15","2020-03-24 09:15:22",,,,,,"Necesitamos tela sin tejer: TST, también llamada TNT","Este tipo de material es el habitual que se utiliza para hacer lo  manteles deshechables de hostelería.Somos ventadecolchones.com de Pozuelo de Calatrava (Ciudad Real), estamos encargándonos de coordinar y proporcionar material a más de 400 voluntarios para la confección de mascarillas. El personal que colabora con nosotros lo hace de forma totalmente gratuita, nosotros les hacemos llegar el material cortado y ellos se encargan de coserlas, para después DONARLAS a los diferentes hospitales, clinicas, residencia","Materiales y Puntos de Recogida (PLA, Tela...)"
1489,"Necesidad propia",published,"2020-03-24 09:41:01","2020-03-24 09:42:02","2020-03-24 09:36:38",,,,,,"Necesito ir al Banco en Aracena","No dispongo de vehículo y no hay transporte entre Cortelazor y Aracena",Otros
1509,"Necesidad propia",published,"2020-03-24 11:06:18","2020-03-24 11:07:00","2020-03-24 10:54:48",,,,,,"Se buscan restaurantes y bares voluntarios para ayudar a camioneros y taxistas","Se buscan restaurantes y bares voluntarios para ayudar a camioneros y taxistas","Alimentación,Otros"
1546,"Necesidad propia",published,"2020-03-24 14:09:00","2020-03-24 14:58:53","2020-03-24 14:06:15",,,,,,"Necesito comer pañales y pagar la luz no tengo trabajo y acabe todas las prestaciones","Necesito comida pañales y pagar la luz urge tengo niño 3años madre soltera no quiero irme a la calle","Alimentación,Higiene,Otros"
1565,"Necesidad propia",published,"2020-03-24 15:55:17","2020-03-24 15:55:35","2020-03-24 15:52:43",,,,,,"ATADES necesita voluntarixs para temas administrativos y para generar recursos para personas con discapacidad intelectual","Atades necesita personas que colaboren en la gestión de la entidad (apoyo administrativo, recogida de llamadas y realización de llamadas) y otras que quieran formar parte de una base de datos de voluntarios y voluntarias que quieran y puedan colaborar de alguna u otra manera en el caso de que sea necesario, y siempre bajo las medidas de seguridad determinadas por las administraciones sanitarias. En este caso, buscan:

Personas con conocimientos sanitarios (médicos, enfermeros, auxiliares, etc.).
Ocio y tiempo libre en centros residenciales de personas con discapacidad intelectual.
Ayuda en hacer la compra a familias de los usuarios
https://actua.frenalacurva.net/t/atades-necesita-voluntarixs-para-temas-administrativos-y-para-generar-recursos-para-personas-con-discapacidad-intelectual/2598",Otros
1585,"Necesidad propia",archived,"2020-03-24 17:03:11","2020-03-25 07:41:13","2020-03-24 16:57:34",,,,,,"Kit para dos personas de riesgo biológico.","Es muy probable que para el 15 de abril mi novia y yo nos encontremos desabastecidos y tengamos que salir también para realizar trámites bancarios y realizar cobros de nuestros salarios, los cuales no se pueden hacer en digital debido a que la empresa en la que estamos no tiene la opción aún.","Viseras y Mascarillas 3D,Respirador Maker,Mascarillas tela,Materiales y Puntos de Recogida (PLA, Tela...)"
1594,"Necesidad propia",archived,"2020-03-24 18:04:51","2020-03-25 07:45:09","2020-03-24 18:02:37",,,,,,"Ayuda para sacar la basura, hacer la compra, etc.","Soy una chica responsable y con ganas de ayudar a las personas que están pasando por esta situación, si necesitan de alguien que le saque la basura, le haga la compra o cualquier cosas pueden contactarme.
Estoy a total disposició. Mi número de contactos es 603397879.
Cueten conmigo.","Alimentación,Higiene,Atención/Cuidados,Acompañamiento en la calle"
1605,"Necesidad propia",published,"2020-03-24 20:05:41","2020-03-24 20:39:27","2020-03-24 20:04:13",,,,,,Dermatología,"Erupción con picor en niño de 5 años",
1628,"Necesidad propia",published,"2020-03-24 22:40:13","2020-03-24 22:53:14","2020-03-24 22:38:35",,,,,,"URGENTE. Necesito pañales y comida y pagar la luz de este mes de marzo","Necesito pañales comida y pagar la luz. Tengo un niño de 3 años, soy madre soltera, sin trabajo y he agotado todos los subsidios. Ayuda, por favor","Alimentación,Higiene,Acogida,Ayuda Psicológica"
1656,"Necesidad propia",published,"2020-03-25 08:16:32","2020-03-25 08:32:31","2020-03-25 08:13:40",,,,,,"Retirar medicamentos farmacia","retirar medicamentos farmacia",Salud
1751,"Necesidad propia",published,"2020-03-25 13:15:39","2020-03-25 13:27:56","2020-03-25 13:11:28",,,,,,"Compras alimentación/farmacia","Compras alimentación/farmacia para persona grupo de riesgo","Alimentación,Higiene"
1787,"Necesidad propia",archived,"2020-03-25 14:04:55","2020-03-25 14:07:14","2020-03-25 14:03:03",,,,,,"Ayuda para el Asilo San Ramón","En el Asilo San Ramón viven más de 100 personas de la tercera edad que necesitarán alimentos y medicinas.","Alimentación,Higiene,Atención/Cuidados,Acompañamiento en la calle,Acogida,Salud,Ayuda Psicológica,Otros,Viseras y Mascarillas 3D,Respirador Maker,Mascarillas tela,Materiales y Puntos de Recogida (PLA, Tela...)"
