Post ID,Survey,Post Status,Created (UTC),Updated (UTC),Post Date (UTC),Contact ID,Contact,Data Source ID,Source,Unstructured Description,T铆tulo de la iniciativa,Descripci贸n detallada,Ubicaci贸n aproximada (si aplica).lat,Ubicaci贸n aproximada (si aplica).lon,Direcci贸n o referencias,驴Es un ofrecimiento individual o de grupo?,Tareas realizadas y pendientes sobre este posteo,,Sector,Foto / Volante,Video (opcional),(Oferente) Nombre de la organizaci贸n o persona referente,(Oferente) Email,(Oferente) Tel茅fono,"(Oferente) Web, Twitter, Grupo Whatsapp, Telegram, y otras redes",(Oferente) Informaci贸n adicional de la organizaci贸n o 谩reas en las que requiere apoyo,Fuente,Link a la fuente,Conexiones o colaboraciones,Acuerdo de consentimiento,Inicio de vigencia de la iniciativa,Fin de vigencia de la iniciativa,ODS Relacionados
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 200 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.31932,-57.41371,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 686,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:2 - Alcance: 260 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.315167,-57.415861,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 687,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 280 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.31775,-57.42,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 688,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 280 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.315028,-57.415333,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 689,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 280 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.315389,-57.415,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 690,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:3 - Alcance: 416 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.320638,-57.416799,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 691,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:3 - Alcance: 700 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.320583,-57.413917,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 692,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 240 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.312667,-57.414111,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 693,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 284 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.292556,-57.404,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 694,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:2 - Alcance: 296 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.28975,-57.398056,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 695,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 268 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.296306,-57.409806,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 696,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 148 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.40675,-57.494222,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 697,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 156 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.392526,-57.4410867,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 698,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 200 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.409111,-57.413402,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 699,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 204 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.4323431,-57.5449415,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 700,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 284 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.365575,-57.406333,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 701,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:2 - Alcance: 320 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.3649483,-57.4140768,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 702,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:3 - Alcance: 504 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.431421,-57.472179,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 703,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:3 - Alcance: 880 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.430673,-57.468348,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 704,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:4 - Alcance: 1148 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.435889,-57.471611,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 705,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:4 - Alcance: 1192 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.332768,-57.431454,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 706,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 80 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.327976,-57.622929,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 707,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:3 - Alcance: 648 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.366272,-57.604193,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 708,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 496 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.36072,-57.606027,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 709,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:2 - Alcance: 380 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.156896,-57.445375,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 710,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 120 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.215851,-57.462936,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 711,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 280 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.158121,-57.49284,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 712,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 236 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.160199,-57.495267,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 713,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 152 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.193228,-57.455895,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 714,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 140 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.1681652,-57.4563754,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 715,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:1 - Alcance: 160 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.170567,-57.460976,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 716,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:3 - Alcance: 548 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.124894,-57.468685,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 717,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:2 - Alcance: 276 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.1702627,-57.4615545,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 718,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:4 - Alcance: 1000 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.172016,-57.45831,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 719,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
,,,,,,,,,,,RED TECHO  OLLA POPULAR San Valentin,Puntos de higiene:2 - Alcance: 592 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboraci髇 y articulaci髇 entre las organizaciones.,-25.12725,-57.466333,AREGUA - Caacupemi - San Valentin,Somos una organizaci贸n o colectivo,,Salud Higiene Autogesti髇 comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,,Red de apoyo a asentamientos Olga Caballerro Melissa Cartasso,,595981 256 677   595981 256 720,,,,,,Estoy de acuerdo en que sea p煤blica la informaci贸n proporcionada en el presente formulario,,,
