lat,long,Nombre,Descripción detallada,Dirección o referencias,Categorías relacionadas,Sector,Video (opcional),(Oferente) Nombre de la organización o persona referente,(Oferente) Email,(Oferente) Teléfono,"(Oferente) Web, Twitter, Grupo Whatsapp, Telegram, y otras redes",(Oferente) Información adicional de la organización o áreas en las que requiere apoyo,Fuente,Link a la fuente,grupo
Melissa Cartasso (Hábitat)  | 0984 943 558",,,,,Somos una organización o grupo
-25.2687793,-57.6087642,RED - HPHPY - OLLA POPULAR SAN AGUSTIN,Puntos de higiene:1 - Alcance: 150 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - BANCO SAN MIGUEL - SAN AGUSTIN,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 559",,,,,Somos una organización o grupo
-25.2647938,-57.6364357,RED - HPHPY - OLLA POPULAR SAN MIGUEL GUERRERO I,Puntos de higiene:1 - Alcance: 100 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - BANCO SAN MIGUEL - SAN MIGUEL GUERRERO,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 560",,,,,Somos una organización o grupo
-25.2616891,-57.6347451,RED - HPHPY - OLLA POPULAR SAN MIGUEL GUERRERO II,Puntos de higiene:1 - Alcance: 100 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - BANCO SAN MIGUEL - SAN MIGUEL GUERRERO,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 561",,,,,Somos una organización o grupo
-25.2620079,-57.6358151,RED - HPHPY - OLLA POPULAR SAN MIGUEL GUERRERO III,Puntos de higiene:1 - Alcance: 50 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - BANCO SAN MIGUEL - SAN MIGUEL GUERRERO,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 562",,,,,Somos una organización o grupo
-25.2584873,-57.6130742,RED - HPHPY - OLLA POPULAR COMISION VECINAL CAACUPEMI,Puntos de higiene:1 - Alcance: 100 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - BANCO SAN MIGUEL - SAN MIGUEL GUERRERO,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 563",,,,,Somos una organización o grupo
-25.2566626,-57.6126649,RED - HPHPY - OLLA POPULAR ESCUELA BÁSICA 6038 PRIV.SUBV.CAACUPEMI DE FE Y ALEGRIA. TAMBIEN ENTREGAN KIT DE ALIMENTOS,Puntos de higiene:1 - Alcance: 100 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - BANCO SAN MIGUEL - SAN MIGUEL GUERRERO,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 564",,,,,Somos una organización o grupo
-25.2611664,-57.6134264,RED - HPHPY - OLLA POPULAR CAACUPEMI II,Puntos de higiene:1 - Alcance: 150 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - BANCO SAN MIGUEL - SAN MIGUEL GUERRERO,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 565",,,,,Somos una organización o grupo
-25.265041,-57.6092408,RED - HPHPY - OLLA POPULAR ASOCIACION DE RECICLADORES,Puntos de higiene:1 - Alcance: 200 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - BANCO SAN MIGUEL - SAN AGUSTIN,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 566",,,,,Somos una organización o grupo
-25.265749,-57.6079903,RED - HPHPY - OLLA POPULAR JESUS MISERICORDIOSO,Puntos de higiene:1 - Alcance: 100 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - BANCO SAN MIGUEL - SAN AGUSTIN,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 567",,,,,Somos una organización o grupo
-25.2663335,-57.6087696,RED - HPHPY - OLLA POPULAR JAGUATA OLLA,Puntos de higiene:1 - Alcance: 120 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - BANCO SAN MIGUEL - SAN AGUSTIN,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 568",,,,,Somos una organización o grupo
-25.2662808,-57.6076744,RED - HPHPY - OLLA POPULAR LA ESPERANZA,Puntos de higiene:1 - Alcance: 150 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - TABLADA - SANTA CRUZ,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 569",,,,,Somos una organización o grupo
-25.2671816,-57.6066146,RED - HPHPY - OLLA POPULAR COMISION VECINAL SANTA CRUZ,Puntos de higiene:1 - Alcance: 140 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - TABLADA - SANTA CRUZ,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 570",,,,,Somos una organización o grupo
-25.2677472,-57.6058272,RED - HPHPY - OLLA POPULAR CAPILLA SANTA CRUZ,Puntos de higiene:1 - Alcance: 140 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - TABLADA - SANTA CRUZ,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 571",,,,,Somos una organización o grupo
-25.2667362,-57.6033285,RED - HPHPY - OLLA POPULAR COMISION VECINAL SAN JUAN,Puntos de higiene:1 - Alcance: 100 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - TABLADA - SANTA CRUZ,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 572",,,,,Somos una organización o grupo
-25.2613469,-57.5958638,RED - HPHPY - OLLA POPULAR COMISION VECINAL FE Y ALEGRIA,Puntos de higiene:1 - Alcance: 100 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - TABLADA - BLANCO CUE,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 573",,,,,Somos una organización o grupo
-25.25744,-57.5977551,RED - HPHPY - OLLA POPULAR COMISION VECINAL SANTA LUCIA,Puntos de higiene:1 - Alcance: 120 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - TABLADA - BLANCO CUE,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 574",,,,,Somos una organización o grupo
-25.2576771,-57.5982505,RED - HPHPY - OLLA POPULAR COMISION VECINAL CADETE INSFRAN,Puntos de higiene:1 - Alcance: 230 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - TABLADA - BLANCO CUE,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 575",,,,,Somos una organización o grupo
-25.2555707,-57.5998298,RED - HPHPY - OLLA POPULAR COMISION VECINAL ESPIRITU SANTO,Puntos de higiene:1 - Alcance: 340 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - TABLADA - BLANCO CUE,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 576",,,,,Somos una organización o grupo
-25.2684776,-57.6054564,RED - HPHPY - ESCUELA N°6039 PRIV. SUB SANTA CRUZ - ENTREGAN KITS DE ALIMENTOS CADA 10 O 15 DIAS,Puntos de higiene:1 - Alcance: 334 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - TABLADA - SANTA CRUZ,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 577",,,,,Somos una organización o grupo
-25.2542265,-57.6003514,RED - HPHPY - OLLA POPULAR COMISION VECINAL SAN VICENTE,Puntos de higiene:1 - Alcance: 350 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - TABLADA - BLANCO CUE,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 578",,,,,Somos una organización o grupo
-25.2574096,-57.601639,RED - HPHPY - OLLA POPULAR COMISION VECINAL SAN MIGUEL I,Puntos de higiene:1 - Alcance: 250 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - TABLADA - BLANCO CUE,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 579",,,,,Somos una organización o grupo
-25.2559141,-57.6027651,RED - HPHPY - OLLA POPULAR COMISION VECINAL LA ESPERANZA,Puntos de higiene:1 - Alcance: 280 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - TABLADA - BLANCO CUE,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 580",,,,,Somos una organización o grupo
-25.2581334,-57.6008441,RED - HPHPY - OLLA POPULAR COMISION VECINAL SAN RAFAEL,Puntos de higiene:1 - Alcance: 170 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - TABLADA - BLANCO CUE,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 581",,,,,Somos una organización o grupo
-25.2498033,-57.6027174,RED - HPHPY - OLLA POPULAR COMISION VECINAL SAN PEDRO II,Puntos de higiene:1 - Alcance: 170 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - TABLADA - BLANCO CUE,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 582",,,,,Somos una organización o grupo
-25.2520329,-57.6033964,RED - HPHPY - OLLA POPULAR COMISION VECINAL YVERA,Puntos de higiene:1 - Alcance: 230 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - TABLADA - BLANCO CUE,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 583",,,,,Somos una organización o grupo
-25.2571502,-57.5997782,RED - HPHPY - OLLA POPULAR COMISION VECINAL LAS MERCEDES,Puntos de higiene:1 - Alcance: 232 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - TABLADA - BLANCO CUE,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 584",,,,,Somos una organización o grupo
-25.2575112,-57.6009746,RED - HPHPY - OLLA POPULAR COMISION VECINAL SAN MIGUEL II,Puntos de higiene:1 - Alcance: 200 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - TABLADA - BLANCO CUE,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 585",,,,,Somos una organización o grupo
-25.2622175,-57.5949177,RED - HPHPY - OLLA POPULAR IGLESIA SAGRADA FAMILIA,Puntos de higiene:1 - Alcance: 350 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - TABLADA - BLANCO CUE,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 586",,,,,Somos una organización o grupo
-25.2351865,-57.5573029,RED - HPHPY - OLLA POPULAR ÑA VIRINA,Puntos de higiene:1 - Alcance: 80 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - ZEBALLOS CUE - LAS COLINAS,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 587",,,,,Somos una organización o grupo
-25.231396,-57.5648698,RED - HPHPY - OLLA POPULAR COMISION VECINAL LA UNION,Puntos de higiene:1 - Alcance: 200 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - ZEBALLOS CUE - LAS COLINAS,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 588",,,,,Somos una organización o grupo
-25.2310216,-57.5602044,RED - HPHPY - OLLA POPULAR CAPILLA INMACULADA,Puntos de higiene:1 - Alcance: 350 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - ZEBALLOS CUE - LAS COLINAS,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 589",,,,,Somos una organización o grupo
-25.2301855,-57.5783569,RED - HPHPY - OLLA POPULAR PECECITO,Puntos de higiene:1 - Alcance: 350 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - ZEBALLOS CUE - SAN FRANCISCO,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 590",,,,,Somos una organización o grupo
-25.2379281,-57.5533825,RED - HPHPY - OLLA POPULAR RC4 - INDIGENA,Puntos de higiene:1 - Alcance: 180 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - ZEBALLOS CUE - SAN PEDRO ,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 591",,,,,Somos una organización o grupo
-25.2384946,-57.5563664,RED - HPHPY - OLLA POPULAR CAPILLA SAN PEDRO,Puntos de higiene:1 - Alcance: 300 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - ZEBALLOS CUE - SAN PEDRO ,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 592",,,,,Somos una organización o grupo
-25.2322222,-57.5752778,RED - HPHPY - OLLA POPULAR  COMISION VECINAL SAN FRANCISCO,Puntos de higiene:1 - Alcance: 140 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - ZEBALLOS CUE - SAN FRANCISCO,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 593",,,,,Somos una organización o grupo
-25.2301918,-57.5766256,RED - HPHPY - OLLA POPULAR LAS DOÑAS,Puntos de higiene:1 - Alcance: 200 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - ZEBALLOS CUE - SAN FRANCISCO,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 594",,,,,Somos una organización o grupo
-25.23207,-57.5652454,RED - HPHPY - OLLA POPULAR CAPILLA MEDALLA MILAGROSA,Puntos de higiene:1 - Alcance: 300 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - ZEBALLOS CUE - SAN FRANCISCO,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 595",,,,,Somos una organización o grupo
-25.2322238,-57.5754969,RED - HPHPY - OLLA POPULAR CAPILLA SAN FRANCISCO,Puntos de higiene:1 - Alcance: 250 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - ZEBALLOS CUE - SAN FRANCISCO,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 596",,,,,Somos una organización o grupo
-25.2545383,-57.5976354,RED - HPHPY - OLLA POPULAR CV VY'A RENDA,Puntos de higiene:1 - Alcance: 140 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - VIRGEN DE FATIMA - CERRITO SAN MIGUEL,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 597",,,,,Somos una organización o grupo
-25.2541587,-57.5951736,RED - HPHPY - OLLA POPULAR SAN MIGUEL,Puntos de higiene:1 - Alcance: 205 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - VIRGEN DE FATIMA - CERRITO SAN MIGUEL,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 598",,,,,Somos una organización o grupo
-25.2529138,-57.5967463,RED - HPHPY - OLLA POPULAR LA DELICIA,Puntos de higiene:1 - Alcance: 130 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - VIRGEN DE FATIMA - CERRITO SAN MIGUEL,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 599",,,,,Somos una organización o grupo
-25.2545041,-57.5958567,RED - HPHPY - OLLA POPULAR  CHIQUITUNGA,Puntos de higiene:1 - Alcance: 104 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,ASUNCION - VIRGEN DE FATIMA - CERRITO SAN MIGUEL,"Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios",Sociedad Civil,https://youtu.be/UDdpU7NJsEY,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 600",,,,,Somos una organización o grupo
