"id","title","description","fantasy","business_name","contact","phone","lat","lon","address","category","source","link","agreement","ODS"
"35","FARMACIAS","MICRO","NOVEDADES LUCAS","NOVEDADES LUCAS","HOMBRE","975256404","-23.41431","-57.44177","AVDA. ELIGIO AYALA ESQUINA AVDA. PINEDO","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"36","ABOGADOS","MICRO","MANA","MANA","MUJER","0","-23.41022","-57.43777","DOCTOR MARCIAL ROY Y SANTOS CANILLA","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"37","ACEITES COMESTIBLES","MICRO","ER","ER","MUJER","972874914","-23.40689","-57.44178","BRASIL CASI AVENIDA PINEDO","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"38","ARTICULOS DE MERCERIA","MICRO","POSADA IDEAL","POSADA IDEAL","MUJER","0331- 242565","-23.4033","-57.4481","PEDRO JUAN CABALLERO Y TENIENTE FLORENCIO GOMES","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"39","CONSULTORAS CONTABLES","MICRO","MAXI LAVADERO","MAXI LAVADERO","HOMBRE","982784119","-23.41318","-57.43314","AVDA HERIBERTO COLOMBINO Y AVDA CORONEL RAFAEL FRANCO","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"40","ELECTRODOMESTICOS","MICRO","ANIMAL HOUSE","ANIMAL HOUSE","MUJER","971844320","-23.40891","-57.44501","GENERAL EUGENIO ALEJANDRINO GARAY","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"41","MOTOCICLETAS - Repuestos y Accesorios","MICRO","SERIGRAFÍA GARRY","SERIGRAFÍA GARRY","MUJER","241316","-23.40668","-57.44193","BRASIL CASI AVENIDA PINEDO","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"42","MUEBLES DEL HOGAR","MICRO","AIS","AIS","HOMBRE","973516804","-23.41396","-57.44476","AV ELIGIO AYALA Y 14 DE MAYO","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"43","LAVADEROS DE AUTOVEHICULOS - Productos para","MICRO","JR REPUESTOS","JR REPUESTOS","HOMBRE","971804288","-23.41312","-57.44142","AVDA. PINEDO ESQUINA RUFINO PAMPLIEGA","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"44","CLINICAS VETERINARIAS - Ver: Veterinarias","MICRO","DESPENSA LA GOLONDRINA","DESPENSA LA GOLONDRINA","MUJER","0331 242824","-23.40738","-57.43129","DON BOSCO C/TTE SILVIO ROJAS","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"45","CONTABILIDAD, Estudios - Ver: Estudios Contables","MICRO","COPETIN CECI","COPETIN CECI","MUJER","976989087","-23.40243","-57.43055","AV. BOQUERON C/ QUEIROZ CANDIA","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"46","IMPRESIONES EN GENERAL - Ver: Imprentas - Serigrafia","MICRO","NANAWA","NANAWA","HOMBRE","0","-23.40295","-57.44903","NUESTRA SEÑORA DE CONCENCION CASI HERMINIO MENDOZA","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"47","AUTOMOTORES - Talleres Mecanicos","MICRO","ADACELL","ADACELL","MUJER","994495004","-23.41277","-57.44141","AVDA PINEDO","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"48","FERRETERIAS DE LA CONSTRUCCION","MICRO","PISCINA Y CIA","PISCINA Y CIA","HOMBRE","241692","-23.40668","-57.44218","BRASIL CASI AVENIDA PINEDO","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"49","AUTOMOTORES - Repuestos y Accesorios","MICRO","IVAN REPUESTOS","IVAN REPUESTOS","ORGANIZACION","331240974","-23.412","-57.43308","AVDA HERIBERTO COLOMBINO Y CORONEL RAFAEL FRANCO","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"50","AUTOMOTORES - Talleres Mecanicos","MICRO","ORGANIZACIÓN TRÉBOL","ORGANIZACIÓN TRÉBOL","HOMBRE","331243061","-23.40763","-57.44523","PRESIDE FRANCO 406 C GRAL GARAY","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"51","DESPENSAS","MICRO","DESPENSA JM","DESPENSA JM","MUJER","033 1241394","-23.40743","-57.43221","DÓN BOSCO Y TTE SEMIDEI","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"52","FUNERARIAS","MICRO","VENTAS DE ROPAS NANAWA","VENTAS DE ROPAS NANAWA","MUJER","985867341","-23.40304","-57.449","NUESTRA SEÑORA DE CONCEPCIÓN HERMINO MENDOZA","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"53","GOMERIAS","MICRO","UNICELL","UNICELL","HOMBRE","971663118","-23.40761","-57.44525","PRESIDENTE FRANCO C GRAL GARAY","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"54","FOTOCOPIAS","MICRO","PUNTO CLAVE","PUNTO CLAVE","MUJER","331240558","-23.41262","-57.44143","AVDA. PINEDO","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"55","REPUESTOS INDUSTRIALES","MICRO","CYM","CYM","MUJER","971821203","-23.40761","-57.44525","PRESIDENTE FRANCO C GRAL GARAY","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"56","ENCOMIENDAS - Servicios","MICRO","TALLER DE MOTOS DIVITO","TALLER DE MOTOS DIVITO","HOMBRE","976867128","-23.41185","-57.43306","AVDA HERIBERTO COLOMBINO Y AVDA CORONEL RAFAEL FRANCO","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"57","DESPENSAS","MICRO","TUSITIO.CLIP","TUSITIO.CLIP","HOMBRE","984307523","-23.40692","-57.44218","BRASIL CASI YEGROS","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"58","PRENDAS - Ver. Ropas","MICRO","JONIS","JONIS","MUJER","0331- 240493","-23.40323","-57.44916","NUESTRA SEÑORA DE LA CONCEPCION CASI HERMINIO MENDOZA","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"59","CELULAR - Reparaciones","MICRO","NOVEDADES LYG","NOVEDADES LYG","MUJER","984725893","-23.40764","-57.44532","PRESIDENTE FRANCO C GRAL GARAY","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"60","ROPERIAS","MICRO","CONFECCIONES MIMA","CONFECCIONES MIMA","MUJER","983501382","-23.40298","-57.43112","MARCELINO MEDINA /TTE ROJAS","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"61","CELULAR - Reparaciones","MICRO","ROSSY SALON DE BELLEZA","ROSSY SALON DE BELLEZA","MUJER","985509278","-23.40689","-57.44235","BRASIL CASI YEGROS","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"62","GOMERIAS - Equipamientos","MICRO","HOTEL AL PASO","HOTEL AL PASO","HOMBRE","331240981","-23.4117","-57.43315","AVDA HERIBERTO COLOMBINO Y AVDA RAFAEL FRANCO","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"63","SISTEMAS INFORMATICOS - Ver: Informatica","MICRO","MAURICIO CELL","MAURICIO CELL","MUJER","981466704","-23.40762","-57.44537","PRESIDENTE FRANCO","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"64","DESPENSAS","MICRO","PELUQUERIA GERMAN","PELUQUERIA GERMAN","HOMBRE","972557992","-23.40664","-57.4421","BRASIL CASI YEGROS","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"65","FERRETERIAS - Articulos para","MICRO","DESPENSA SARTORI","DESPENSA SARTORI","MUJER","976354890","-23.41211","-57.44229","CALLE FULGENCIO YEGROS ESQUINA RUFINO QUEVEDO","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"66","PRENDAS - Ver. Ropas","MICRO","CONCEPCION PLAY","CONCEPCION PLAY","HOMBRE","975285248","-23.41346","-57.44742","PAMPLIEGA C/ PEDRO JUAN CABALLERO","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"67","CONFECCIONES - Ver: Roperias","MICRO","SANTA EUSEBIA","SANTA EUSEBIA","HOMBRE","242412","-23.4076","-57.44546","PRESIDENTE FRANCO","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"68","UNIVERSIDADES PRIVADAS","MICRO","JOSEFA CRISTALDO DE ESPINOLA","JOSEFA CRISTALDO DE ESPINOLA","MUJER","0975 286644","-23.40359","-57.45109","CARLOS ANTINIO LOPES TENIENTE GOMES","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"69","PELUQUERIAS","MICRO","GOMERIA","GOMERIA","HOMBRE","0","-23.40272","-57.43893","MARCELINO MEDINA","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"70","HOTELES","MICRO","PELUQUERÍA BAEZ","PELUQUERÍA BAEZ","HOMBRE","0","-23.40747","-57.44812","PRESIDENTE FRANCO","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"71","CELULAR - Reparaciones","MICRO","DESPENSA BAEZ","DESPENSA BAEZ","MUJER","981856807","-23.40778","-57.44828","PRESIDENTE FRANC","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"72","CELULAR - Activaciones","MICRO","SE COCINA","SE COCINA","HOMBRE","991759537","-23.41033","-57.44566","CNEL FRANCISCO MARTINEZ","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"73","PELUQUERIAS","MICRO","DESPENSA EMI","DESPENSA EMI","MUJER","984936006","-23.41213","-57.44206","INTENDENTE RUDINO SPIKA","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"74","ALMACENES RAMOS GENERALES","MICRO","AMAFER","AMAFER","HOMBRE","331241233","-23.41019","-57.44336","14 DE MAYO ESQ.CNEL MARTINEZ","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"75","JUEGOS ELECTRONICOS - Equipos","MICRO","ALMACEN SAN CAYETANO","ALMACEN SAN CAYETANO","MUJER","981322649","-23.40337","-57.43223","MARCELINO MEDINA/ TTE SEMIDEI","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"76","DESPENSAS","MICRO","SANTA CECILIA","SANTA CECILIA","HOMBRE","331242539","-23.40759","-57.44569","PRESIDENTE FRANCO C CERRÓ CORA","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"77","CONFECCIONES - Importadas - Ver: Ropas, Importadas","MICRO","VENUS","VENUS","HOMBRE","0985 803 000","-23.40646","-57.43164","PADRE SARMIENTO","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"78","GOMERIAS","MICRO","GOMERIA LA ROTONDA","GOMERIA LA ROTONDA","HOMBRE","975251545","-23.40987","-57.43344","AVDA HERIBERTO COLOMBINO Y AVDA CORONEL FRANCO","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"79","ALMACEN DE SUELAS","MICRO","MANA CELESTIAL","MANA CELESTIAL","MUJER","0331-240084","-23.40699","-57.44875","PRESIDENTE FRANCO 782","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
"80","DESPENSAS","MICRO","SANTA ISABEL","SANTA ISABEL","HOMBRE","0971 195637","-23.40377","-57.4508","HUMAITA CASI CARLOS ANTONIO LOPEZ","Productos y Servicios","Universidad Nacional de Concepción","www.unc.edu.py","SI, Acepto","ODS 1: Fin de la pobreza, ODS 8: Trabajo decente y crecimiento económico"
