ID COMERCIO,EMPRESA,DIRECCION,TELEFONOS,PROPIETARIO,ANTIGÜEDAD,MAYORISTA,MINORISTA,SERVICIOS,TIPO,FAMILIAR?,RUC,LATITUD,LONGITUD,RUBRO
706,RYO S.A,AVDA PINEDO CASI HERMINIO MENDOZA ,0,ORGANIZACION,60,NO,SÍ,NO,MICRO,NO,80020784-0,-23.402671,-57.441454,FERRETERIAS
707,PUNTO FARMA ,AVENIDA PINEDO Y HUMAITA,0,ORGANIZACION,2,NO,SÍ,NO,MICRO,NO,80022877-4,-23.403708,-57.441445,"ARTICULOS DE ILUMINACION - Ver: Iluminacion, Artefactos"
708,MERCURIO CELL ,AVDA. PINEDO CASI TENIENTE GOMEZ ,0,HOMBRE,96,NO,SÍ,SÍ,MICRO,SÍ,3947846-7,-23.403892,-57.441458,BODEGAS
709,CASA OVELAR,14 DE MAYO ENTRE TENIENTE AGUERO Y TENIENTE GOMEZ,242753,MUJER,360,NO,SÍ,NO,MICRO,SÍ,0,-23.409199,-57.442578,LIBROS
710,HIELOS RENE ,14 DE MAYO CASI TENIENTE AGUERO,240126,HOMBRE,360,NO,SÍ,NO,MICRO,SÍ,0,-23.404009,-57.442598,AUTOMOTORES - Electricidad del Automovil
711,HOTEL IMPERIAL,TENIENTE AGUERO CASI GENERAL GARAY ,985137185,HOMBRE,72,NO,NO,SÍ,MICRO,NO,1816928-7,-23.404650,-57.444828,CELULAR - Activaciones
712,SALON DE BELLEZA FRANCIS ,14 DE MAYO CASI HERMINIO MENDOZA,240131,MUJER,360,NO,NO,SÍ,MICRO,SÍ,945423-3,-23.402974,-57.443818,ESTETICA INTEGRAL - Centros de
713,CASA EDGAR ANTONIO,TTE AGÜERO C/ YEGROS 186,0,HOMBRE,480,NO,SÍ,SÍ,MICRO,SÍ,2028325-3,-23.404570,-57.442110,REMERAS - Ventas
714,OTY AUSERVICE,TTE. AGUERO ENTRE YEGROS Y 14 DE MAYO,2428757,HOMBRE,360,NO,SÍ,NO,MICRO,SÍ,1279545-3,-23.404668,-57.442957,DESPENSAS
715,GALESA,YEGRLS 225,240018,MUJER,60,NO,SÍ,NO,MICRO,SÍ,2543865-4,-23.403779,-57.442531,AGROVETERINARIAS
716,HERRERÍA CONCEPCIÓN,TTE AGÜERO C/ YEGROS,971830422,HOMBRE,0,NO,NO,SÍ,MICRO,NO,0,-23.404599,-57.441959,FOTOCOPIADORAS - Insumos
717,AYA COURRIER,AVDA. HERMINIO MENDOZA ENTRE AVDA PINEDO Y YEGROS ,241030,MUJER,216,NO,NO,SÍ,MICRO,SÍ,3412353-9,-23.402533,-57.441550,ELECTRODOMESTICOS
718,DESPENSA FABISAN,YEGROS Y AVDA. HERMINIO MENDOZA,240046,MUJER,180,NO,SÍ,NO,MICRO,SÍ,0,-23.402727,-57.442558,NUTRICION ANIMAL
719,PELUQUERIA SILVIO,TENIENTE AGUERO CASI 14 DE MAYO,982675500,HOMBRE,120,NO,NO,SÍ,MICRO,SÍ,876307-0,-23.404798,-57.443426,INFORMATICA - Asesoria Integral
720,HOSPINORTE,IGNACIO ITURBE C/ TTE AGÜERO,331241242,HOMBRE,60,SÍ,SÍ,NO,MICRO,NO,3982572-8,-23.40332,-57.44543,BAZARES
721,LO DE LILA,GRAL GARAY 366 C/ JULIO OTAÑO,331241058,MUJER,240,NO,NO,SÍ,MICRO,SÍ,2427517-4,-23.40543,-57.44385,"CONTABILIDAD, Estudios - Ver: Estudios Contables"
722,SAN BLAS AVENIDA,AVDA PINEDO CASI OTAÑO,243308,HOMBRE,72,NO,NO,SÍ,MICRO,SÍ,2049419-0,-23.405229,-57.441372,ELECTRODOMESTICOS
723,ACACIAS,MCAL. ESTIGARRIBIA Y GRAL. GARAY,331241118,HOMBRE,48,NO,NO,SÍ,MICRO,SÍ,2544076-4,-23.408549,-57.443925,LIBRERIAS
724,MÁS VISIÓN,MCAL. ESTIGARRIBIA C/ GRAL. GARAY,331242123,MUJER,112,NO,NO,SÍ,MICRO,NO,2544076-4,-23.408549,-57.443925,FOTOGRAFIAS
725,MR,ASUNCIÓN C/ JUANA M DE ORTELLADO,971490802,HOMBRE,24,NO,NO,SÍ,MICRO,NO,0,-23.39909,-57.4474,DESPENSAS
726,EL ZURDO COMERCIAL,INSMAL GONZALEZ C/ ISMAEL IRALA FERNÁNDEZ,0,MUJER,24,NO,SÍ,NO,MICRO,SÍ,1182300-0,-23.39758,-57.45013,RAMOS GENERALES -Ver: Almacenes Ramos Generales
727,DELFI,MANUEL IRALA FERNANDEZ C/ 1° DE MARZO,0,HOMBRE,360,NO,SÍ,NO,MICRO,SÍ,975513-6,-23.3971,-57.44968,COMESTIBLES - Distribuidoras
728,STILO FASHIÓN,FERNANDO DE LA MORA C/ ISMAEL GONZALEZ,0,MUJER,0,NO,NO,SÍ,MICRO,NO,0,-23.39796,-57.44986,ODONTOLOGIA - Clinicas
729,ALDA,ASUNCIÓN Y 1°DE MARZO,981378037,MUJER,120,NO,SÍ,NO,MICRO,SÍ,2298325-2,-23.39899,-57.44896,BARES Y COPETINES
730,EL CONDOR,MANUEL IRALA FERNANDEZ C/ 1° DE MARZO,0331 242870,MUJER,360,NO,SÍ,NO,MICRO,SÍ,0,-23.39709,-57.44883,RAMOS GENERALES -Ver: Almacenes Ramos Generales
731,WALTER LEONARDO ESCOBAR FLECHA,FERNANDO DE LA MORA Y 1° DE MARZO,971543767,HOMBRE,2,NO,NO,SÍ,MICRO,NO,3681539,-23.39811,-57.44847,ABOGADOS
732,CARNICERIA Y DESPENSA,CAPITAN MANUEL IRALA Y PROFESOR MERALDA DE ORTELLADO,973533477,HOMBRE,36,NO,SÍ,NO,MICRO,SÍ,2566840-4,-23.3971,-57.4473,DESPENSAS
733,MIÑO,PROFESOR MERALDA OTERLLADO C/ FERNANDO DE LA MORA,976143629,HOMBRE,180,NO,NO,SÍ,MICRO,NO,2194376-1,-23.3976,-57.44723,DESPENSAS
734,LILIANA ,FERNANDO DE LA MORA,976907280,MUJER,0,NO,SÍ,NO,MICRO,NO,884896-4,-23.39803,-57.44757,BODEGAS
735,ARAMI CELL,MCAL. ESTIGARRIBIA C/ 14 DE MAYO,971688788,HOMBRE,96,NO,NO,SÍ,MICRO,SÍ,3499370-3,-23.408552,-57.443877,PESCADERIAS
736,SANTA ROSA,MCAL. ESTIGARRIBIA C/ 14 DE MAYO,971826169,MUJER,180,NO,SÍ,NO,MICRO,NO,2344364-2,-23.408528,-57.443814,PESCADERIAS
737,NOVA ,MCAL. ESTIGARRIBIA Y 14 DE MAYO,331240471,MUJER,72,NO,SÍ,NO,MICRO,SÍ,1275130-8,-23.408533,-57.443666,DESPENSAS
738,EXCEL,MCAL. ESTIGARRIBIA Y 14 DE MAYO,331240285,MUJER,120,NO,NO,SÍ,MICRO,SÍ,80038912-3,-23.4085599,-57.4435733,PELUQUERIAS
739,BLACK AND WHITE,TENIENTE UBALDO CABRERA Y MAYOR LORENZO M.,0,MUJER,12,NO,SÍ,NO,MICRO,SÍ,0,-23.41204,-57.43422,DESPENSAS
740,BAZAR MARINA,AVENIDA BERBARDINO CABALLERO Y SARGENTO PIRELLI,984863335,MUJER,48,NO,SÍ,NO,MICRO,NO,0,-23.40916,-57.43615,CARNICERIAS
741,RECALDE,AVENIDA BERNARDINO CABALLERO Y SARGENTO PIRELLO,0331 242 704,HOMBRE,360,NO,SÍ,NO,MICRO,SÍ,0,-23.40935,-57.43697,BODEGAS
742,SAN FRANCISCO,MAYOR LORENZOY SARGENTO PIRELLI,0331 242 931,MUJER,10,NO,NO,SÍ,MICRO,NO,3412346-6,-23.40859,-57.43672,DESPENSAS
743,CAACUPE,AVENIDA BERNARDINO CABALLERO Y DR. SANTOS CANILLA,972538119,HOMBRE,0,NO,SÍ,NO,MICRO,NO,0,-23.40935,-57.43697,MINI-MERCADOS
744,NIÑO JESUS ,MAYOR LORENZO MEDINA Y DR. SANTOS CANILLA,971708889,HOMBRE,36,SÍ,NO,NO,MICRO,SÍ,0,-23.40856,-57.43656,PESCADERIAS
745,G Y R,MAYOR LORENZO MEDINA Y DR. SANTOS CANILLS,971563945,HOMBRE,24,NO,SÍ,NO,MICRO,SÍ,4401455-4,-23.40871,-57.43911,PESCADERIAS
746,AGRO VETERINARIA,MAYOR LORENZO MEDINA Y DR. SANTOS CANILLA,0331 241969,MUJER,84,NO,SÍ,NO,MICRO,SÍ,2904940-9,-23.40792,-57.43975,DESPENSAS
747,LOPEZ COMERCIAL,MAYOR LORENZO MEDINA Y DR. SANTOS CANILLA ,0331 242 912,HOMBRE,312,NO,SÍ,NO,MICRO,SÍ,698665-0,-23.40779,-57.441,TRANSPORTADORAS
748,SOFIA,MAYOR LORENZO MEDINA Y PROFESOR GUILLERMO CABRAL,971570299,HOMBRE,60,NO,NO,SÍ,MICRO,NO,0,-23.40862,-57.43808,PESCADERIAS
749,SONIA ROJAS,MAYOR LORENZO MEDINA Y PROFESOR GUILLERMO CABRAL,971925643,ORGANIZACION,96,NO,SÍ,NO,MICRO,SÍ,3626191,-23.40862,-57.43808,DESPENSAS
750,BONITA NOVEDADES,AVENIDA BERNARDINO CABALLERO N° 303,973679334,MUJER,2,NO,SÍ,NO,MICRO,SÍ,1868454-8,-23.40932,-57.43902,PESCADERIAS
751,SAN NICOLAS,AVENIDA BERNARDINO CABALLERO Y PROFESOR GUILLERMO CABRAL,0331 240 944,HOMBRE,300,SÍ,NO,NO,MICRO,SÍ,1275164-2,-23.40936,-57.43877,PESCADERIAS
752,SAN FRANCISCO ,AVENIDA BERNARDINO CABALLERO Y PROFESOR GUILLERMO CABRAL,982661445,HOMBRE,480,SÍ,NO,NO,MICRO,SÍ,2573303-6,-23.4093,-57.43882,BARES Y COPETINES
753,SAN RAFAEL,AVENIDA BERNARDINO CABALLERO Y PROFESOR CABRAL,0,HOMBRE,240,NO,SÍ,NO,MICRO,NO,0,-23.40952,-57.43883,PRENDAS - Ver. Ropas
754,CAMPESINITO,AVENIDA BERNARDINO CABALLERO Y PROFESOR CABRAL,985863439,HOMBRE,12,NO,SÍ,NO,MICRO,SÍ,0,-23.40936,-57.43792,PIZZERIAS
755,PELUQUERIA GABY CARILLO,DOCTOR MARCIAL ROY C/ TENIENTE UBALDO,975398899,MUJER,48,NO,NO,SÍ,MICRO,NO,0,-23.40988,-57.43553,ROPAS INFANTILES
756,MISTICA,GUMERCINDO SOSA ESQ. 2 DE MAYO,982390754,MUJER,8,NO,NO,SÍ,MICRO,NO,0,-23.39459,-57.44281,DESPENSAS
757,RITA,PROFESOR ANDRES MIASNICOFF,971843283,MUJER,84,NO,NO,SÍ,MICRO,NO,3396456-4,-23.3943,-57.44394,DESPENSAS
758,TYS,JORGE SEBASTIAN MIRANDA CASI GUMERCINDO SOSA,0,MUJER,48,NO,SÍ,NO,MICRO,SÍ,0,-23.39436,-57.44607,AUTOMOTORES - Compra-Ventas
759,DESPENSA 8 DE DICIEMBRE,AQUIDABAN,971347454,HOMBRE,36,NO,SÍ,NO,MICRO,SÍ,0,0,0,FARMACIAS
760,ESTACIÓN DE SERVICIOS SAN GREGORIO VARGAS MEDINA S.A,AVDA. GUALBERTO CARDUS Y JULIA CUETO ESTIGARRIBIA,331242041,ORGANIZACION,180,NO,NO,SÍ,MICRO,NO,80032702-0,-23.392881,-57.428984,TELEFONIA - Servicios
761,RYN,SAN LUIS,975831259,MUJER,12,NO,SÍ,NO,MICRO,SÍ,0,-23.393086,-57.429281,DESPENSAS
762,ROCÍO,AQUIDABAN C/EMILIO SOSA GAONA,0,MUJER,120,NO,SÍ,NO,MICRO,SÍ,0,-23.394858,-57.429657,ABOGADOS
763,PLAZA CASTILLO,AQUIDABAN C/ MUSICOS DEL CHACO,983192047,HOMBRE,12,NO,SÍ,NO,MICRO,SÍ,4050927-3,-23.393578,-57.426353,ESTUDIOS JURIDICOS
764,ELENITA,MUSICOS DEL CHACO C/ TTE GONZALEZ,331241480,MUJER,12,NO,SÍ,NO,MICRO,SÍ,0,-23.396503,-57.429957,HOTELES
765,COPETÍN SAN LUIS,SAN LUIS,973824674,MUJER,60,NO,SÍ,NO,MICRO,SÍ,0,-23.395843,-57.429657,IMPRENTAS
766,JOELITO,JUANA F. DE ALONSO ,0,MUJER,120,NO,SÍ,NO,MICRO,SÍ,0,-23.39476,-57.44517,PELUQUERIAS
767,SAN LUIS,INTENDENTE RODOLFO C/JOSÉ DOLORES,971895533,HOMBRE,36,NO,SÍ,NO,MICRO,,0,-23.397192,-57.432382,FERRETERIAS
768,AUTOSERVICE SYM,MANUEL IRALA C/ JULIA MIRANDA ,981689797,MUJER,112,NO,SÍ,NO,MICRO,SÍ,3225572-1,-23.396050,-57.430086,DESPENSAS
769,TIO LEPU,INTENDENTE RODOLFO GONZALEZ / JULIA CUETO DE ESTIGARRIBIA,971811187,HOMBRE,2,NO,SÍ,NO,MICRO,SÍ,498541-9,-23.395715,-57.429399,LIBRERIAS
770,LULUKA COMERCIAL,INTENDENTE RODOLFO C/ JULIA MIRANDA CUETO,971598511,HOMBRE,60,NO,SÍ,NO,MICRO,SÍ,2251882-7,-23.396010,-57.429271,HERRERIAS DE OBRA
771,GOMERIA DOS HERMANOS,ALBERTO COLOMBINO Y HERNAN ALBERTINI,973198916,HOMBRE,1,NO,NO,SÍ,MICRO,SÍ,0,-23.41461,-57.43814,HERRERIAS ARTISTICAS
772,TRES HERMANOS ,OBRERO ENTRE JUANA DE ALONSO ,984535042,MUJER,144,NO,SÍ,NO,MICRO,SÍ,3990171-8,-23.408437,-57.439120,ESTUDIOS JURIDICOS
773,COMERCIAL SIN RIVAL,SAN LUIS,975427027,MUJER,4,NO,SÍ,NO,MICRO,SÍ,0,-23.396069,-57.429700,CORREO PRIVADO
774,COPETÍN ARAMÍ,MADRINAS DE GUERRA C/QUEIROZ CANDIA,0,MUJER,60,NO,SÍ,NO,MICRO,SÍ,0,-23.397960,-57.429743,FINANCIERAS
775,MILAGRO,MADRINAS DE GUERRA,972886930,MUJER,84,NO,SÍ,NO,MICRO,SÍ,0,-23.396975,-57.429829,PELUQUERIAS
776,SANTA ROSA,MADRINAS DE GUERRA,971791592,MUJER,36,NO,SÍ,NO,MICRO,SÍ,0,-23.397802,-57.429571,ESTACIONES DE SERVICIOS - Productos para
777,FRANKAN,VILLA ARMANDO,971580081,HOMBRE,60,NO,SÍ,NO,MICRO,SÍ,0,-23.397133,-57.429829,DISPENSADORES DE PAPEL HIGIENICO
778,EL BUEN GUSTO,MADRINAS DE GUERRA C/ JOSE ALVARENGA,0,MUJER,6,NO,SÍ,NO,MICRO,SÍ,0,-23.396936,-57.429914,DISPENSADORES DE TOALLAS DE PAPEL
779,CARNICERIA EL TORITO,PROF. CABRAL C/ BERNARDINO CABALLERO,971801180,HOMBRE,216,NO,SÍ,NO,MICRO,1,1732633-8,-23.409428,-57.438928,PAPELERIAS
780,NYA,MADRINAS DE GUERRA C/JULIA MIRANDA CUETO,982612390,MUJER,4,NO,SÍ,NO,MICRO,SÍ,0,-23.397960,-57.429399,GASTRONOMIA - Servicios
781,LA VICTORIA,PADRE QUEIROZ CANDIA C/ MADRINAS DE GUERRA,972236412,MUJER,60,SÍ,SÍ,NO,PEQUEÑA,SÍ,1843654-4,-23.396562,-57.428863,BOCADITOS - Servicios de - Ver: Servicios de Lunch
782,RAUL SERVICE,MCAL. ESTIGARRIBIA Y 14 DE MAYO,331243030,HOMBRE,48,NO,NO,SÍ,MICRO,SÍ,3196410,-23.408510,-57.443304,GASTRONOMIA - Servicios
783,JMR,QUEIROZ CANDIA,,MUJER,72,NO,NO,SÍ,MICRO,SÍ,4125227,-23.396798,-57.429035,SUPERMERCADOS
784,CEC,MCAL. ESTIGARRIBIA Y 14 DE MAYO,331242646,MUJER,312,NO,NO,SÍ,PEQUEÑA,SÍ,395307-6,-23.408535,-57.442950,"TELEVISORES - Servicios Tecnicos - Ver: Electronica, Reparaciones"
785,DE LA MECHE ,JUANA F. DE ALONSO C/ OBRERO,975585242,MUJER,24,NO,NO,SÍ,MICRO,SÍ,0,-23.39646,-57.44508,TELEFONIA CELULAR - Empresas Proveedores de Servicios
786,QUEVEDO,MCAL. ESTIGARRIBIA Y 14 DE MAYO,669531-0,HOMBRE,180,NO,NO,SÍ,MICRO,NO,669531-0,-23.408505,-57.442896,HELADERIAS
787,DOS HIJOS ,AVENIDA PINEDO ESQ. OBRERO,976863321,MUJER,84,NO,SÍ,NO,MICRO,SÍ,0,-23.39576,-57.4416,CLINICA MEDICA - Medicos
788,EL BIGOTE,PTE. FRANCO Y GRAL. GARAY,331240580,MUJER,276,NO,NO,SÍ,MICRO,SÍ,278857-6,-23.407845,-57.444811,FLORERIAS
789,TALLER ,AVENIDA AGUSTIN FERNANDO DE PINEDO,973412404,HOMBRE,12,NO,NO,SÍ,MICRO,NO,0,-23.39594,-57.44159,OBRAS CIVILES - Ver: Construcciones Civiles
790,FRANCO MOTO REPUESTOS,MADRINAS DE GUERRA Y QUEIROZ CANDIA,331240081,HOMBRE,48,NO,SÍ,NO,MICRO,SÍ,5647530-6,-23.396699,-57.428906,LAVADEROS DE AUTOVEHICULOS
791,PEPES,AVENIDA PINEDO,0,MUJER,24,NO,NO,SÍ,MICRO,SÍ,3981001-1,-23.407181,-57.441480,MOTOCICLETAS - Repuestos y Accesorios
792,PEPES,PTE. FRANCO E/ YEGROS,0,MUJER,24,NO,NO,SÍ,PEQUEÑA,SÍ,3981001-1,-23.407796,-57.441759,BODEGAS
793,ELECTRO CELL ,AVENIDA AGUSTIN FERNANDO DE PINEDO ESQ.OBRERO,984932357,HOMBRE,84,NO,SÍ,NO,MICRO,NO,4385825-2,-23.39576,-57.4416,PANADERIAS
794,DOÑA DALIA,QUEIROZ CANDIA,971820677,MUJER,12,NO,NO,SÍ,MICRO,SÍ,3918885,-23.397015,-57.428949,PELUQUERIAS
795,AUTOCERVICE ÑA ÑECA ,DR. GUALBERTO CARDUZ C ARMANDO BERAUD,972250945,HOMBRE,84,SÍ,NO,NO,MICRO,SÍ,4257972-4,0,0,DESPENSAS
796,MOTORMARKET S.A.,AV. HERIBERTO COLOMBINO E/ JUAN BAUTISTA Y CLAUDIO ACOSTA ,971800365,HOMBRE,36,NO,SÍ,NO,MICRO,NO,1509999-7,-23.41456,-57.43712,ENMARCADOS - Taller de
797,CARNES CHACO,QUEIROS CANDIA,973719369,HOMBRE,6,NO,SÍ,NO,MICRO,NO,3481298-9,-23.398945,-57.428906,CARNICERIAS
798,SHIMURA MOTO REPUESTOS,QUEIROZ CANDIA / TTE ROJAS SILVA,331242052,HOMBRE,24,NO,SÍ,NO,MICRO,NO,4649740-4,-23.398571,-57.428949,ELECTRONICA - Instalaciones
799,AUTOSERVICE ANDREA,QUEIROS CANDIA / TTE ROJAS SILVA,971561639,HOMBRE,12,NO,SÍ,NO,MICRO,SÍ,1445489-0,-23.398394,-57.429292,RADIO MENSAJES - Servicios
800,CS REPUESTO ,DR. GUALBERTO CARDUZ,976509409,HOMBRE,24,SÍ,NO,NO,MICRO,SÍ,4597813-1,0,0,DESPENSAS
801,DESPENSA ANITA ,GENERAL GARAY,0,MUJER,180,NO,SÍ,NO,MICRO,SÍ,0,0,0,CELULAR - Reparaciones
802,LUZ LIBRERIA,PTE FRANCO,982759254,MUJER,7,NO,SÍ,NO,PEQUEÑA,1,1867972-2,0,0,FARMACIAS
803,DESPENSA LILIANA ,JOSE ROMACHAT C/ GULBERTO CARDUZ ,982279320,MUJER,240,NO,SÍ,NO,MICRO,SÍ,0,0,0,CELULAR - Aparatos
804,KARANDA-Y,PTE FRANCO,0,HOMBRE,36,NO,NO,NO,MICRO,1,NULL,-23.40762,-57.44712,IMPRENTAS
805,PUNTO DIEZ,GENERAL GARAY - SÉPTIMA PROYECTADA,0,MUJER,96,NO,SÍ,NO,MICRO,SÍ,2869766-9,0,0,BOUTIQUES
806,TRES HERMANOS,MONSEÑOR LOCHI,983709885,MUJER,156,NO,SÍ,NO,MICRO,SÍ,0,0,0,PRENDAS - Ver. Ropas
807,MABEL,MONSEÑOR LOCHI Y GRAL. GARAY,0,HOMBRE,300,NO,SÍ,NO,MICRO,SÍ,3857666-0,0,0,DESPENSAS
808,ALQUILER DE GLOBO LOCO,OBRERO CASI 2 DE MAYO,971697692,HOMBRE,12,NO,NO,SÍ,MICRO,SÍ,0,-23.39579,-57.44326,CLINICAS VETERINARIAS - Ver: Veterinarias
809,NUÑEZ,MADRE CONCEPCIONERA C/ BENIGNA VILLA,,MUJER,24,NO,NO,SÍ,,,0,0,0,FRUTERIAS
810,ÑA ANA ,MONSEÑOR LOCHI GONZALEZ,0,MUJER,300,NO,SÍ,NO,,SÍ,0,0,0,ALMACENAJES - Depositos
811,ÑA MAURA,DIONISIO GIMENEZ SILVA C/ AVI. ELIGIO AYALA,241027,MUJER,120,NO,SÍ,NO,,SÍ,1278471-0,0,0,AGROVETERINARIAS
812,RAMIREZ,TTE RODRIGUEZ Y MADRINAS DE GUERRA,986260285,HOMBRE,36,NO,NO,SÍ,MICRO,SÍ,0,-23.396699,-57.433476,ELECTRODOMESTICOS
813,SAN DIEGO ,JUANA DE ALONSO Y PROFESOR ANDRES,241836,HOMBRE,180,NO,SÍ,NO,MICRO,SÍ,0,-23.39489,-57.44493,ELECTRODOMESTICOS
814,MUNDO GYM,TENIENTE C/MADRINAS DE GUERRA,971833726,MUJER,36,NO,NO,SÍ,MICRO,SÍ,0,-23.396542,-57.433519,ALMACENAJES - Depositos
815,FYM ,ANDRES MIASNIKOFF,240196,HOMBRE,24,NO,NO,SÍ,MICRO,NO,0,-23.39499,-57.44374,ALMACENAJES - Depositos
816,CAR ACCESORIOS,AV. ELIGIO AYALA C/ BENIGNO VILLA,331240923,MUJER,96,NO,SÍ,NO,,SÍ,1542245-3,0,0,ACEITES LUBRICANTES
817,YEMAR,MEDICOS DEL CHACO,982988584,MUJER,84,NO,NO,SÍ,MICRO,SÍ,0,-23.397231,-57.434635,MALLAS PARA FRACCIONAMIENTOS DE FRUTASY VERDURAS
818,KINO,OBRERO Y ANDRES MIASNICOFF,975245485,HOMBRE,3,NO,SÍ,NO,MICRO,NO,0,-23.39593,-57.44428,PELUQUERIAS
819,GILDA,OBRERO CASI JUANA DE ALONZO,971283423,MUJER,60,NO,SÍ,NO,MICRO,SÍ,0,-23.39593,-57.44428,DESPENSAS
820,NERY AUTO MOTOR,AVDA. GUALBERTO CARDUZ,971802695,HOMBRE,72,SÍ,SÍ,NO,MICRO,NO,0,-23.396325,-57.436674,DESPENSAS
821,TALLER B NORTE,DR GUALBERTO CARDÚZ,0,HOMBRE,0,NO,NO,NO,,,,0,0,ESTACIONES DE SERVICIOS
822,BRAULIO ACOSTA,AVDA. GUALBERTO CARDUS HUERTA,971551846,HOMBRE,60,NO,SÍ,NO,MICRO,SÍ,0,-23.395675,-57.434893,DESPENSAS
823,COPETIN ELI,MANUEL IRALA ENTRE MIASNICOFF,0,MUJER,24,NO,SÍ,NO,MICRO,SÍ,0,-23.39665,-57.44443,DESPENSAS
824,A TU PERFIL,13 TUYUTI,971828272,MUJER,108,SÍ,NO,NO,MICRO,SÍ,3522991-8,-23.400284,-57.440965,DESPENSAS
825,METALURGICA DIAZ,JULIA MIRANDA CUETO,984402578,HOMBRE,11,NO,NO,SÍ,MICRO,SÍ,0,0,0,MINI-MERCADOS
826,COPETIN M8R,ENFERMERA DEL CHACO C/ GUALBERTI CARDUZ,986173108,HOMBRE,2,NO,NO,SÍ,MICRO,SÍ,,0,0,DESPENSAS
827,DESPENSA SAN RAMÓN,ENFERMERAS DEL CHACO - BARRIO VILLA OLIVA,971715137,HOMBRE,36,NO,SÍ,NO,MICRO,SÍ,,0,0,BARES Y COPETINES
828,ELECTROMECANICA ALCORTA,DETRAS DEL NEGOCIO DE COCA COLA,331241335,,0,NO,NO,NO,,,,0,0,DESPENSAS
829,SUPER SONIC,0,0331 242721,MUJER,420,NO,SÍ,NO,MICRO,SÍ,361833-1,-23.40498,-57.44505,DESPENSAS
830,ZONA DIGITAL,AVENIDA HERMINIO MENDOZA C/ CERRO CORA,0331 240 037,HOMBRE,60,NO,SÍ,SÍ,MICRO,NO,2049653-2,-23.402203,-57.445704,LAVADEROS DE AUTOVEHICULOS
831,A Y B NOVEDADES ,ASUNCIÓN C/ MIANICOFF,0331 240145,MUJER,4,NO,SÍ,NO,MICRO,SÍ,3653136-7,-23.39758,-57.44818,GOMERIAS
832,COPETIN JAVIERCITO,AVENIDA PINEDO C/ HERMINIO MENDOZA,981474015,MUJER,14,NO,SÍ,NO,MICRO,SÍ,0,-23.40183,-57.44156,AUTOSERVICES
833,PELUQUERIA MATISSE,AVENIDA HERMINIO MENDOZA C/ MIRANDA,986389332,MUJER,6,NO,NO,SÍ,MICRO,NO,0,-23.40117,-57.44654,ARTICULOS DE CAZA Y PESCA - Representantes
834,ALEXIS FOTOGRAFIA,JUANA DE ALONSO C/ HERMINIO,972627701,HOMBRE,0,NO,NO,NO,,,,-23.40559,-57.44449,FERRETERIAS
835,NOVEDADES VICTORIA,MONSEÑOR MARIAEVICH C/ 2 DE MAYO,0331 241172,MUJER,168,NO,SÍ,NO,MICRO,SÍ,1037891-0,-23.40116,-57.44256,GOMERIAS
