lat,long,Nombre,Descripción detallada,Dirección o referencias,Categorías relacionadas,Sector,Video (opcional),(Oferente) Nombre de la organización o persona referente,(Oferente) Email,(Oferente) Teléfono,"(Oferente) Web, Twitter, Grupo Whatsapp, Telegram, y otras redes",(Oferente) Información adicional de la organización o áreas en las que requiere apoyo,Fuente,Link a la fuente,grupo
-25.315.167,-57.415.861,RED - TECHO - OLLA POPULAR Ara Poty,Puntos de higiene:2 - Alcance: 260 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,AREGUA - Costa Fleitas - Ara Poty,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 662",,,,,Somos una organización o grupo
-2.531.775,-57.42,RED - TECHO - OLLA POPULAR Vida Nueva,Puntos de higiene:1 - Alcance: 280 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,AREGUA - Costa Fleitas - Vida Nueva,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 663",,,,,Somos una organización o grupo
-25.315.028,-57.415.333,RED - TECHO - OLLA POPULAR Niño Jesus,Puntos de higiene:1 - Alcance: 280 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,AREGUA - Costa Fleitas - Niño Jesus,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 664",,,,,Somos una organización o grupo
-25.315.389,-57.415,RED - TECHO - OLLA POPULAR Villa El Maestro,Puntos de higiene:1 - Alcance: 280 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,AREGUA - Costa Fleitas - Villa El Maestro,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 665",,,,,Somos una organización o grupo
-25.320.638,-57.416.799,RED - TECHO - OLLA POPULAR Santa Rosa,Puntos de higiene:3 - Alcance: 416 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,AREGUA - Costa Fleitas - Santa Rosa,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 666",,,,,Somos una organización o grupo
-25.320.583,-57.413.917,RED - TECHO - OLLA POPULAR Renacer 3,Puntos de higiene:3 - Alcance: 700 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,AREGUA - Costa Fleitas - Renacer 3,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 667",,,,,Somos una organización o grupo
-25.312.667,-57.414.111,RED - TECHO - OLLA POPULAR Ebenezer,Puntos de higiene:1 - Alcance: 240 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,AREGUA - Costa Fleitas - Ebenezer,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 668",,,,,Somos una organización o grupo
-25.292.556,-57.404,RED - TECHO - OLLA POPULAR Arapyahu 1,Puntos de higiene:1 - Alcance: 284 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,AREGUA - Isla Valle - Arapyahu 1,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 669",,,,,Somos una organización o grupo
-2.528.975,-57.398.056,RED - TECHO -  Arapyahu 3,Puntos de higiene:2 - Alcance: 296 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,AREGUA - Isla Valle - Arapyahu 3,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 670",,,,,Somos una organización o grupo
-25.296.306,-57.409.806,RED - TECHO - OLLA POPULAR Tajy Poty - ex Belén,Puntos de higiene:1 - Alcance: 268 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,AREGUA - San Miguel - Tajy Poty - ex Belén,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 671",,,,,Somos una organización o grupo
-2.540.675,-57.494.222,RED - TECHO - OLLA POPULAR Bonanza,Puntos de higiene:1 - Alcance: 148 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,Capiata - Cñía 7 San Martín - Bonanza,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 672",,,,,Somos una organización o grupo
-25.392.526,-574.410.867,RED - TECHO -  El Triunfal,Puntos de higiene:1 - Alcance: 156 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,CAPIATA - El Triunfal - El Triunfal,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 673",,,,,Somos una organización o grupo
-25.409.361,-57.413.417,RED - TECHO - OLLA POPULAR MEDALLA MILAGROSA,Puntos de higiene:1 - Alcance: 200 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,CAPIATA - Cñía 15 Aldana Cañada - MEDALLA MILAGROSA,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 674",,,,,Somos una organización o grupo
-254.323.431,-575.449.415,RED - TECHO - OLLA POPULAR SAN MARTIN,Puntos de higiene:1 - Alcance: 204 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,CAPIATA - Cñía 7 San Martín - SAN MARTIN,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 675",,,,,Somos una organización o grupo
-25.400.793,-57.427.906,RED - TECHO - OLLA POPULAR DIVINO NIÑO,Puntos de higiene:1 - Alcance: 284 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,CAPIATA - Cñía 11 Toledo Cañada - DIVINO NIÑO,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 676",,,,,Somos una organización o grupo
-253.649.483,-574.140.768,RED - TECHO - OLLA POPULAR 6de Enero,Puntos de higiene:2 - Alcance: 320 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,CAPIATA - Laurelty - 6de Enero,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 677",,,,,Somos una organización o grupo
-25.431.421,-57.472.179,RED - TECHO - OLLA POPULAR El Salvador,Puntos de higiene:3 - Alcance: 504 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,CAPIATA - Cñía 7 El Salvador - El Salvador,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 678",,,,,Somos una organización o grupo
-254.306.091,-575.389.933,RED - TECHO - OLLA POPULAR EL PROGRESO 1 y 2,Puntos de higiene:3 - Alcance: 880 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,CAPIATA - compañía 7 Posta Ybyraro - EL PROGRESO 1 y 2,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 679",,,,,Somos una organización o grupo
-25.435.889,-57.471.611,RED - TECHO - OLLA POPULAR Nueva Esperanza,Puntos de higiene:4 - Alcance: 1148 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,CAPIATA - Cñía 7 Nva Esperanza - Nueva Esperanza,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 680",,,,,Somos una organización o grupo
-25.332.783,-57.431.435,RED - TECHO - OLLA POPULAR SUEÑO Y ESPERANZA,Puntos de higiene:4 - Alcance: 1192 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,CAPIATA - Cñía 2 Costa Salinas - SUEÑO Y ESPERANZA,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 681",,,,,Somos una organización o grupo
-25.328.278,-57.623,RED - TECHO - OLLA POPULAR Primero de Mayo,Puntos de higiene:1 - Alcance: 80 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,LAMBARE - Primero de Mayo - Primero de Mayo,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 682",,,,,Somos una organización o grupo
-25.366.272,-57.604.193,RED - TECHO - OLLA POPULAR VILLA ANGELICA,Puntos de higiene:3 - Alcance: 648 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,LAMBARE - VILLA ANGELICA - VILLA ANGELICA,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 683",,,,,Somos una organización o grupo
-25.360.778,-57.606,RED - TECHO -  Arapoty 2,Puntos de higiene:1 - Alcance: 496 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,LAMBARE - Arapoty 2 - Arapoty 2,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 684",,,,,Somos una organización o grupo
-251.569.356,-574.475.508,RED - TECHO - OLLA POPULAR NUEVA VICTORIA,Puntos de higiene:2 - Alcance: 380 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,LIMPIO - Centro Caacupemi - NUEVA VICTORIA,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 685",,,,,Somos una organización o grupo
-25.215.851,-57.462.936,RED - TECHO - OLLA POPULAR JEROVIAHA |,Puntos de higiene:1 - Alcance: 120 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,LIMPIO - Colonia Juan de Salazar - JEROVIAHA |,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 686",,,,,Somos una organización o grupo
-25.158.121,-5.749.284,RED - TECHO - OLLA POPULAR Ycua Ita,Puntos de higiene:1 - Alcance: 280 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,LIMPIO - Costa Azul/Santa Lucia - Ycua Ita,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 687",,,,,Somos una organización o grupo
-251.633.434,-575.645.107,RED - TECHO - OLLA POPULAR SAN CAYETANO COSTA AZUL,Puntos de higiene:1 - Alcance: 236 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,LIMPIO - Costa Azul/Santa Lucia - SAN CAYETANO COSTA AZUL,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 688",,,,,Somos una organización o grupo
-25.193.228,-57.455.895,RED - TECHO - OLLA POPULAR Las Mercedes,Puntos de higiene:1 - Alcance: 152 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,LIMPIO - Mbajue - Las Mercedes,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 689",,,,,Somos una organización o grupo
-251.681.652,-574.563.754,RED - TECHO - OLLA POPULAR 8 de Diciembre,Puntos de higiene:1 - Alcance: 140 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,LIMPIO - Montaña Alta - 8 de Diciembre,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 690",,,,,Somos una organización o grupo
-25.170.567,-57.460.976,RED - TECHO - OLLA POPULAR Betel Montaña Alta,Puntos de higiene:1 - Alcance: 160 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,LIMPIO - Montaña Alta - Betel Montaña Alta,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 691",,,,,Somos una organización o grupo
-251.245.762,-575.388.117,RED - TECHO - OLLA POPULAR DIVINO NIÑO JESUS,Puntos de higiene:3 - Alcance: 548 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,LIMPIO - Montaña Alta - DIVINO NIÑO JESUS,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 692",,,,,Somos una organización o grupo
-251.702.627,-574.615.545,RED - TECHO - OLLA POPULAR La Victoria,Puntos de higiene:2 - Alcance: 276 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,LIMPIO - Montaña Alta - La Victoria,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 693",,,,,Somos una organización o grupo
-25.171.914,-574.605.742,RED - TECHO - OLLA POPULAR CANAAN,Puntos de higiene:4 - Alcance: 1000 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,LIMPIO - Montaña Alta - CANAAN,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 694",,,,,Somos una organización o grupo
-2.512.725,-57.466.333,RED - TECHO - OLLA POPULAR NUEVA ESPERANZA,Puntos de higiene:2 - Alcance: 592 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,LIMPIO - Rincon del Peñon 15 de Agosto - NUEVA ESPERANZA,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 695",,,,,Somos una organización o grupo
-25.126.646,-574.606.199,RED - TECHO - OLLA POPULAR LIRIO DEL VALLE,Puntos de higiene:4 - Alcance: 800 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,LIMPIO - Rincon del Peñon 15 de Agosto - LIRIO DEL VALLE,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 696",,,,,Somos una organización o grupo
-25.126.646,-574.606.199,RED - TECHO - OLLA POPULAR ROSA MISTICA,Puntos de higiene:1 - Alcance: 288 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,LIMPIO - Rincon del Peñon 15 de Agosto - ROSA MISTICA,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 697",,,,,Somos una organización o grupo
-251.430.141,-575.053.467,RED - TECHO - OLLA POPULAR SANTA LIBRADA II,Puntos de higiene:3 - Alcance: 600 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,LIMPIO - Rincon del Peñon Villa Jardin - SANTA LIBRADA II,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 698",,,,,Somos una organización o grupo
-251.651.234,-574.911.999,RED - TECHO -  Barcelona,Puntos de higiene:3 - Alcance: 600 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,Limpio - Salado - Barcelona,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 699",,,,,Somos una organización o grupo
-25.204.944,-57.479.361,RED - TECHO - OLLA POPULAR La Hermosa,Puntos de higiene:1 - Alcance: 120 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,LIMPIO - Colonia Juan de Salazar - La Hermosa,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 700",,,,,Somos una organización o grupo
-252.055,-57.475.028,RED - TECHO - OLLA POPULAR El Bosque II,Puntos de higiene:3 - Alcance: 400 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,LIMPIO - Colonia Juan de Salazar - El Bosque II,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 701",,,,,Somos una organización o grupo
-25.204.667,-57.476.694,RED - TECHO - OLLA POPULAR El Bosque I,Puntos de higiene:3 - Alcance: 592 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,LIMPIO - Colonia Juan de Salazar - El Bosque I,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 702",,,,,Somos una organización o grupo
-251.644.893,-57.495.977,RED - TECHO - OLLA POPULAR SAN FRANCISCO,Puntos de higiene:2 - Alcance: 320 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,LIMPIO - Costa Azul/Santa Lucia - SAN FRANCISCO,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 703",,,,,Somos una organización o grupo
-25.162.292,-57.494.917,RED - TECHO - OLLA POPULAR SANTA ANA,Puntos de higiene:1 - Alcance: 232 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,LIMPIO - Costa Azul/Santa Lucia - SANTA ANA,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
Melissa Cartasso (Hábitat)  | 0984 943 704",,,,,Somos una organización o grupo
-25.202.413,-574.825.877,RED - TECHO - OLLA POPULAR NUEVO HORIZONTE,Puntos de higiene:1 - Alcance: 236 personas. La RED de Apoyo a Asentamientos es una propuesta de colaboración y articulación entre las organizaciones.,LIMPIO - Isla Aveiro - NUEVO HORIZONTE,Salud Higiene Autogestión comunitaria Grupo de apoyo / Voluntarios,Sociedad Civil,,Red de apoyo a asentamientos,,"Olga Caballero (TECHO) | 0981 256 677
