ID,Institución,Título de la Iniciativa,Descripción,Latitud,Longitud,Imagen (Dirección URL),Teléfono de Contacto,Email,Link,Persona a Cargo,Departamento,Localidad,Fuente,Link a la Fuente,Acuerdo de Consentimiento
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-25.2695954,-57.5061691,,021-640 972 / 021-641 098,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Central,Luque,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-25.3153218,-57.5777744,,021-503023,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Central,Luisito - Eusebio Ayala,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-25.3153218,-57.5777744,,963880 / 963886,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Central,Ñemby,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-25.2853745,-57.6359002,,021 493606 / 021 4191807 (Préstamos),correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Central,Microcentro,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-25.2967864,-57.5765532,,021 4191180 / 021 4191183,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Central,Villa Morra,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-25.2297533,-57.5429498,,021-750 506 / 419 1534,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Central,CAC ARP EXPO Centro de Negocios Bancarios(Mariano R. Alonso),Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-27.331812,-55.859239,,071-202242 Fax: 071-202243,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Itapúa,Encarnación,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-27.161073,-56.239028,,0741-252 201,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Itapúa,Coronel Bogado,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-27.082579,-55.650328,,0775-232 231 Fax: 0775-232 660,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Itapúa,Hohenau,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-26.832129,-56.205007,,0742-20 001,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Itapúa,San Pedro del Paraná,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-27.093644,-56.017673,,0761-265 355 / 0761-265 208,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Itapúa,Fram,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-26.830017,-55.337092,,0768-295 510,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Itapúa,Capitan Meza,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-26.758315,-55.138705,,0765-206 020,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Itapúa,Natalio,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-26.528056,-55.261037,,0764-20 002 Fax: 0764-20 210,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Itapúa,Tomás Romero Pereira,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-26.346394,-54.714234,,0671-20 111,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Itapúa,Mayor Otaño,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-25.781791,-56.447629,,0541-42722 / 0541-42325 Fax: 0541-40837,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Guairá,Villarrica,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-26.056381,-56.486342,,0546-256 369,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Guairá,CAC Iturbe,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-25.618153,-56.27525,,0550 - 20007,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Guairá,CAC Mauricio José Troche,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-23.40778,-57.446174,,0331-242310 Fax: 0331-242528,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Concepción,Concepción,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-23.339204,-57.050455,,032-222 550 Fax: 032-222 207,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Concepción,Horqueta,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-22.968412,-56.540448,,039-210 555,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Concepción,Yby Yaú,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-22.538318,-55.73151,,0336-273680 Fax: 0336-272206,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Amambay,Pedro Juan Caballero,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-23.258519,-55.541063,,0337-230 258,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Amambay,Capitán Bado,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-26.4531511,-56.4083013,,0545-254 377,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Caazapá,CAC Fulgencio Yegros,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-26.114115,-55.93941,,0544-320 003 Fax: 0544-320 344,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Caazapá,San Juan Nepomuceno,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-26.61264,-56.245741,,0547-257 205,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Caazapá,Yuty,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-26.195183,-56.367928,,0542-232 292,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Caazapá,Caazapá,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-25.444421,-56.441128,,0521-202 201 Fax: 0521-202 387,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Caaguazú,Coronel Oviedo,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-25.059013,-55.92092,,021-4191529 Linea Alta: 0213-283180,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Caaguazú,CAC Yhu,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-25.382323,-55.832119,,0524-225 300,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Caaguazú,CAC Juan Manuel Frutos,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-25.538006,-55.992947,,0522-230000,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Caaguazú,CAC Repatriación,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-25.462624,-56.018384,,0522-41 194 / 0522-42 208 Fax: 0522-42 408,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Caaguazú,Caaguazú,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-25.379168,-55.696415,,0528-222 239 Fax:0528-222839,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Caaguazú,Juan Eulogio Estigarribia,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-25.509718,-54.609809,,061-500 320 / 061-500 234 Fax:061-509 706,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Alto Paraná,Ciudad del Este,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-25.225398,-54.702471,,419-1399,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Alto Paraná,CAC Santa Fe del Parana,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-26.112655,-55.058305,,,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Alto Paraná,CAC Iruña,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-24.984591,-55.150578,,(021) 328 4847,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Alto Paraná,CAC Itakyry,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-25.379047,-55.696461,,0675-265 231 Fax: 0675-265 760,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Alto Paraná,Juan León Mallorquín,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-25.399087,-54.641765,,0631-22 268 Fax: 0631-22 968,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Alto Paraná,Hernandarias,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-25.800952,-55.0922,,0673-220 303 Fax:0673-220 150,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Alto Paraná,Santa Rita,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-25.485725,-54.760902,,064-420 980 / 064-420985,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Alto Paraná,Minga Guazú,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-24.97318,-54.918866,,,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Alto Paraná,San Alberto,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-26.855591,-58.309701,,0786-232 504 Fax:0786-232305,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Ñeembucú,Pilar,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-26.887121,-57.028102,,0782-232 295 Fax: 0782-232 607,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Misiones,San Ignacio Misiones,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-27.38406,-56.827072,,072-222 598,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Misiones,CAC Ayolas,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-26.668639,-57.144862,,0217-212 262 Fax: 0217-212 799,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Misiones,San Juan B. Misiones,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-26.888188,-56.849904,,0858-285 401,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Misiones,Santa Rosa Misiones,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-25.462535,-57.042149,,0515-212 242,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Cordillera,CAC Piribebuy,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-25.381567,-56.964314,,0514-215 226 Fax:0514-215561,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Cordillera,Eusebio Ayala,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
,BANCO NACIONAL DE FOMENTO,Sucursal del Banco Nacional de Fomento,"Sucursal y/o Agencia habilitada para atención al público, consultar sobre Productos y Servicios Financieros habilitados en la misma",-25.0568,-57.09479,,0510-272 106,correo@bnf.gov.py,https://www.bnf.gov.py/,Gerente de Sucursal,Cordillera,Arroyos y Esteros,Banco Nacional de Fomento,https://www.bnf.gov.py/,"Sí, estoy de acuerdo."
